,year,title,original_title,date_published,genre,duration,country,production_company,avg_vote,metascore,content_rating,book,worlwide_gross_income1,worlwide_gross_income2,budget1,budget2,oscar_win,book2,G,NC17,NR,PG,PG-13,R
659,2011,(S)ex list,What's Your Number?,2011-11-04,"Comedy, Romance",106,USA,Regency Enterprises,6.1,35.0,R,,$,30426096,$,20000000.0,0,0,0,0,0,0,0,1
661,2011,Drive,Drive,2011-09-30,"Crime, Drama",100,USA,FilmDistrict,7.8,78.0,NR,,$,76976666,$,15000000.0,0,0,0,0,1,0,0,0
663,2011,Thor,Thor,2011-04-27,"Action, Adventure, Fantasy",115,USA,Paramount Pictures,7.0,57.0,PG-13,,$,449326618,$,150000000.0,0,0,0,0,0,0,1,0
664,2011,Red Dog,Red Dog,2011-08-04,"Biography, Comedy, Drama",92,"Australia, USA",Woss Group Film Productions,7.4,,PG,,$,21185162,AUD,7055000.0,0,0,0,0,0,1,0,0
665,2011,Jack e Jill,Jack and Jill,2012-02-17,Comedy,91,USA,Columbia Pictures,3.3,23.0,PG,,$,149673788,$,79000000.0,0,0,0,0,0,1,0,0
666,2011,Take Me Home Tonight,Take Me Home Tonight,2012-03-23,"Comedy, Drama, Romance",114,"USA, Germany",Rogue Pictures,6.3,42.0,R,,$,7550073,$,23000000.0,0,0,0,0,0,0,0,1
668,2011,Conan the Barbarian,Conan the Barbarian,2011-08-18,"Action, Adventure, Fantasy",113,"USA, Bulgaria, Germany, India",Lionsgate,5.2,36.0,R,,$,63523283,$,90000000.0,0,0,0,0,0,0,0,1
669,2011,Priest,Priest,2011-06-15,"Action, Horror, Thriller",87,USA,Screen Gems,5.7,41.0,PG-13,,$,78309505,$,60000000.0,0,0,0,0,0,0,1,0
670,2011,Red State,Red State,2011-09-30,"Action, Crime, Horror",88,USA,NVSH Productions,6.2,50.0,R,,$,1874460,$,4000000.0,0,0,0,0,0,0,0,1
671,2011,Sanctum,Sanctum,2011-02-11,"Action, Adventure, Drama",108,"USA, Australia",Universal Pictures,5.9,42.0,R,,$,108609310,$,30000000.0,0,0,0,0,0,0,0,1
673,2011,La cosa,The Thing,2012-06-27,"Horror, Mystery, Sci-Fi",103,"Canada, USA, UK",Morgan Creek Entertainment,6.2,49.0,R,,$,31505287,$,38000000.0,0,0,0,0,0,0,0,1
674,2011,Source Code,Source Code,2011-04-29,"Action, Drama, Mystery",93,"USA, Canada, France, Germany",Summit Entertainment,7.5,74.0,PG-13,,$,147332697,$,32000000.0,0,0,0,0,0,0,1,0
687,2011,Hugo Cabret,Hugo,2012-02-03,"Drama, Family, Fantasy",126,"UK, USA, France",Paramount Pictures,7.5,83.0,PG,,$,185770160,$,150000000.0,0,0,0,0,0,1,0,0
688,2011,Sucker Punch,Sucker Punch,2011-03-25,"Action, Adventure, Fantasy",110,"USA, Canada",Warner Bros.,6.0,33.0,PG-13,,$,89792502,$,82000000.0,0,0,0,0,0,0,1,0
689,2011,Le avventure di Tintin - Il segreto dell'Unicorno,The Adventures of Tintin,2011-10-28,"Animation, Action, Adventure",107,"USA, New Zealand, UK, France, Australia",Columbia Pictures,7.3,68.0,PG,,$,373993951,$,135000000.0,0,0,0,0,0,1,0,0
691,2011,The Green Hornet,The Green Hornet,2011-01-28,"Action, Comedy, Crime",119,USA,Columbia Pictures,5.8,39.0,PG-13,,$,227817248,$,120000000.0,0,0,0,0,0,0,1,0
692,2011,Hanna,Hanna,2011-08-12,"Action, Drama, Thriller",111,"USA, UK, Germany",Focus Features,6.8,65.0,PG-13,,$,63782078,$,30000000.0,0,0,0,0,0,0,1,0
693,2011,Straw Dogs,Straw Dogs,2011-09-16,"Action, Drama, Thriller",110,USA,Screen Gems,5.8,45.0,R,,$,11168712,$,25000000.0,0,0,0,0,0,0,0,1
695,2011,The Iron Lady,The Iron Lady,2012-01-27,"Biography, Drama",105,"UK, France",DJ Films,6.4,54.0,PG-13,,$,115890699,$,13000000.0,1,0,0,0,0,0,1,0
701,2011,Paradiso amaro,The Descendants,2012-02-17,"Comedy, Drama",115,USA,Fox Searchlight Pictures,7.3,84.0,R,The Descendants,$,177243185,$,20000000.0,1,1,0,0,0,0,0,1
702,2011,The Eagle,The Eagle,2011-09-16,"Action, Adventure, Drama",114,"UK, USA",Focus Features,6.2,55.0,PG-13,,$,37989684,$,25000000.0,0,0,0,0,0,0,1,0
704,2011,Un anno da leoni,The Big Year,2012-07-27,Comedy,102,"USA, Canada",Fox 2000 Pictures,6.2,53.0,PG,,$,8179416,$,41000000.0,0,0,0,0,0,1,0,0
705,2011,Come l'acqua per gli elefanti,Water for Elephants,2011-05-06,"Drama, Romance",120,USA,Fox 2000 Pictures,6.9,52.0,PG-13,Water for Elephants,$,117094902,$,38000000.0,0,1,0,0,0,0,1,0
706,2011,Monte Carlo,Monte Carlo,2011-07-22,"Adventure, Comedy, Family",109,"Hungary, USA, France",Fox 2000 Pictures,5.8,43.0,PG,,$,39782683,$,20000000.0,0,0,0,0,0,1,0,0
708,2011,Footloose,Footloose,2011-10-14,"Comedy, Drama, Music",113,USA,Paramount Pictures,5.9,58.0,PG-13,,$,63543328,$,24000000.0,0,0,0,0,0,0,1,0
709,2011,Midnight Son,Midnight Son,2011,Horror,88,USA,Free Lunch Productions,5.9,,PG,,$,973,$,3250000.0,0,0,0,0,0,1,0,0
710,2011,Ghost Rider - Spirito di vendetta,Ghost Rider: Spirit of Vengeance,2012-03-23,"Action, Fantasy, Thriller",96,"USA, United Arab Emirates",Columbia Pictures,4.3,34.0,PG-13,,$,132563930,$,57000000.0,0,0,0,0,0,0,1,0
712,2011,Paul,Paul,2011-06-01,"Adventure, Comedy, Sci-Fi",104,"USA, UK",Universal Pictures,7.0,57.0,R,,$,97984015,$,40000000.0,0,0,0,0,0,0,0,1
713,2011,L'ora nera,The Darkest Hour,2012-01-20,"Action, Adventure, Horror",89,"USA, Russia",Summit Entertainment,4.9,18.0,PG-13,The Darkest Hour,$,64626786,$,30000000.0,0,1,0,0,0,0,1,0
714,2011,Le idi di marzo,The Ides of March,2011-12-16,"Drama, Thriller",101,USA,Columbia Pictures,7.1,67.0,R,,$,76338111,$,12500000.0,0,0,0,0,0,0,0,1
716,2011,Lanterna Verde,Green Lantern,2011-08-31,"Action, Adventure, Sci-Fi",114,USA,Warner Bros.,5.5,39.0,PG-13,,$,219851172,$,200000000.0,0,0,0,0,0,0,1,0
718,2011,Beastly,Beastly,2011-05-11,"Drama, Fantasy, Romance",86,USA,CBS Films,5.6,40.0,PG-13,,$,43202283,$,17000000.0,0,0,0,0,0,0,1,0
719,2011,Il rito,The Rite,2011-03-11,"Drama, Horror, Mystery",114,"USA, Hungary, Italy",New Line Cinema,6.0,38.0,PG-13,,$,96560591,$,37000000.0,0,0,0,0,0,0,1,0
725,2011,Cime tempestose,Wuthering Heights,2011-11-11,"Drama, Romance",129,UK,Film4,6.0,70.0,NR,Wuthering Heights,$,1742215,GBP,7200000.0,0,1,0,0,1,0,0,0
727,2011,The Lincoln Lawyer,The Lincoln Lawyer,2011-03-18,"Crime, Drama, Thriller",118,USA,Lionsgate,7.3,63.0,R,,$,86752352,$,40000000.0,0,0,0,0,0,0,0,1
728,2011,Rango,Rango,2011-03-11,"Animation, Adventure, Comedy",107,USA,Paramount Pictures,7.2,75.0,PG,,$,245724603,$,135000000.0,1,0,0,0,0,1,0,0
