,title,original_title,year,date_published,genre,duration,country,production_company,actors,avg_vote,budget,usa_gross_income,worlwide_gross_income,metascore,content_rating,oscar_name,oscar_category,oscar_winner,book
284,The Myth of the American Sleepover,The Myth of the American Sleepover,2010,2011-04-07,"Comedy, Drama, Romance",96,USA,Roman Spring Pictures,"Claire Sloma, Marlon Morton, Amanda Bauer, Brett Jacobsen, Nikita Ramsey, Jade Ramsey, Annette DeNoyer, Wyatt McCallum, Mary Wardell, Douglas Diedrich, Dane Jones, Shayla Curran, Christopher Simon, Madi Ortiz, Stephen M. Francis III",6.3,,$ 41045,$ 41642,67.0,,,,,
285,The Four-Faced Liar,The Four-Faced Liar,2010,2010-01-01,"Comedy, Drama, Romance",87,USA,6140 Productions,"Daniel Carlisle, Todd Kubrak, Emily Peck, Marja-Lewis Ryan, Liz Osborn, Lisa Bierman, Tadia K. Taylor, Jessie Paddock, Natasha David, Joe Chiotalo, Chelsea Thornton, Stephanie Gentry, Adam Klesh, Jaclyn Steinhart, Adriana DeGirolami",5.7,$ 2000000,,,,,,,,
286,Acorazado,Acorazado,2010,2012-06-21,Comedy,102,"Mexico, Spain, France",El Barandal Postproduccion,"Marius Biegai, Silverio Palacios, Camille Natta, Salvador Sánchez, Laura De la Uz, Enrique Molina",6.7,$ 1200000,,$ 2596,,,,,,
287,Love & Secrets,All Good Things,2010,2012-06-01,"Crime, Drama, Mystery",101,USA,Groundswell Productions,"Ryan Gosling, Kirsten Dunst, Frank Langella, Lily Rabe, Philip Baker Hall, Michael Esper, Diane Venora, Nick Offerman, Kristen Wiig, Stephen Kunken, John Cullum, Maggie Kiley, Liz Stauber, Marion McCorry, Mia Dillon",6.3,,$ 582024,$ 1754389,57.0,R,,,,
288,Las buenas hierbas,Las buenas hierbas,2010,2010-08-20,Drama,117,Mexico,Axolote Cine,"Úrsula Pruneda, Ofelia Medina, Ana Ofelia Murguía, Cosmo González Muñoz, Gabino Rodríguez, Miriam Balderas, Alberto Estrella, Luisa Pardo, Rodrigo Solis",6.8,,,,,,,,,
289,Adèle e l'enigma del faraone,Les aventures extraordinaires d'Adèle Blanc-Sec,2010,2010-10-15,"Action, Adventure, Family",107,"France, USA",EuropaCorp,"Louise Bourgoin, Mathieu Amalric, Gilles Lellouche, Jean-Paul Rouve, Jacky Nercessian, Philippe Nahon, Nicolas Giraud, Laure de Clermont-Tonnerre, Gérard Chaillou, Serge Bagdassarian, Claire Pérot, François Chattot, Stanislas de la Tousche, Youssef Hajdi, Mohamed Aroussi",6.3,EUR 31340000,,$ 34604339,,,,,,
290,From Paris with Love,From Paris with Love,2010,2010-04-16,"Action, Crime, Thriller",92,France,EuropaCorp,"John Travolta, Jonathan Rhys Meyers, Kasia Smutniak, Richard Durden, Bing Yin, Amber Rose Revah, Eric Godon, François Bredon, Chems Dahmani, Sami Darr, Julien Hagnery, Mostéfa Stiti, Rebecca Dayan, Michaël Vander-Meiren, Didier Constant",6.5,$ 52000000,$ 24077427,$ 52844496,42.0,R,,,,
291,Nightmare,A Nightmare on Elm Street,2010,2010-08-20,"Crime, Drama, Horror",95,USA,New Line Cinema,"Jackie Earle Haley, Kyle Gallner, Rooney Mara, Katie Cassidy, Thomas Dekker, Kellan Lutz, Clancy Brown, Connie Britton, Lia D. Mortensen, Julianna Damm, Christian Stolte, Katie Schooping Knight, Hailey Schooping Knight, Leah Uteg, Don Robert Cass",5.2,$ 35000000,$ 63075011,$ 115694863,35.0,R,,,,
292,Nightmare,A Nightmare on Elm Street,2010,2010-08-20,"Crime, Drama, Horror",95,USA,New Line Cinema,"Jackie Earle Haley, Kyle Gallner, Rooney Mara, Katie Cassidy, Thomas Dekker, Kellan Lutz, Clancy Brown, Connie Britton, Lia D. Mortensen, Julianna Damm, Christian Stolte, Katie Schooping Knight, Hailey Schooping Knight, Leah Uteg, Don Robert Cass",5.2,$ 35000000,$ 63075011,$ 115694863,35.0,R,,,,
293,Shelter - Identità paranormali,6 Souls,2010,2011-02-25,"Horror, Mystery, Thriller",112,USA,NALA Films,"Julianne Moore, Jonathan Rhys Meyers, Jeffrey DeMunn, Frances Conroy, Nate Corddry, Brooklynn Proulx, Brian Anthony Wilson, Joyce Feurring, Steven Rishard, Charles Techman, John Peakes, Michael Graves, Chaz Moneypenny, Charles David Richards, Rick Applegate",6.1,$ 22000000,,$ 3205167,28.0,R,,,,
294,Todas las canciones hablan de mí,Todas las canciones hablan de mí,2010,2010-12-10,Comedy,107,Spain,Castafiore Films,"Oriol Vila, Bárbara Lennie, Ramon Fontserè, Ángela Cremonte, Bruno Bergonzini, Eloy Azorín, Valeria Alonso, Daniel Castro, Miriam Giovanelli, Rebeca Sala, Isabelle Stoffel, Sabrina Praga",6.3,,,$ 290142,,,,,,
295,Black Death - ...un viaggio all'inferno,Black Death,2010,2010-06-11,"Action, Drama, History",102,"Germany, UK",Egoli Tossell Film,"Sean Bean, Eddie Redmayne, John Lynch, Tim McInnerny, Kimberley Nixon, Andy Nyman, David Warner, Johnny Harris, Emun Elliott, Tygo Gernandt, Jamie Ballard, Carice van Houten, Daniel Steiner, Tobias Kasimirowicz, Keith Dunphy",6.4,,$ 22554,$ 390006,71.0,R,,,,
296,Bunraku,Bunraku,2010,2011-11-30,"Action, Drama, Fantasy",124,USA,Snoot Entertainment,"Josh Hartnett, Gackt, Woody Harrelson, Ron Perlman, Kevin McKidd, Demi Moore, Shun Sugata, Emily Kaiho, Jordi Mollà, Mike Patton, Shahar Sorek, Fernando Chien, Yoshio Iizuka, Kofi Yiadom, Aaron Toney",6.2,$ 25000000,,$ 129706,28.0,R,,,,
