,title,original_title,year,date_published,genre,duration,country,production_company,actors,avg_vote,budget,usa_gross_income,worlwide_gross_income,metascore,content_rating,oscar_name,oscar_category,oscar_winner,book
7554,Små citroner gula,Små citroner gula,2013,2013-02-20,"Comedy, Romance",99,Sweden,Film i Väst,"Rakel Wärmländer, Dan Ekborg, Josephine Bornebusch, Sverrir Gudnason, Tomas von Brömssen, Anki Lidén, Eric Ericson, Richard Ulfsäter, Sofia Rönnegård, David Tainton, Iwa Boman, Hanna Skoghag, Emelie DiJolie, Paolo Laverghetta, Johan af Wetterstedt",6.1,,,$ 1786541,,,,,,
7555,Ömheten,Ömheten,2013,2013-12-06,Drama,80,Sweden,DFM,"Sebastian Hiort af Ornäs, Alfred Juntti, Lina Leandersson, Ella Nordin, Jenny Sandberg, Pär Andersson, Robin Edholm, Alexandra Dahlström, Sven Björklund, Kemal Görgü, Michael Odhag, Sonja Lindblom, Jesper Johansson, Malcolm Dixelius, Henrik Ekman",4.5,SEK 10000000,,,,,,,,
7556,Metallica Through the Never,Metallica Through the Never,2013,2013-10-04,Music,93,USA,Blackened Recordings,"Dane DeHaan, James Hetfield, Lars Ulrich, Kirk Hammett, Robert Trujillo, Kyle Thomson, Toby Hargrave, Mackenzie Gray, Peter Bryant, Hrothgar Mathews, Jeremy Raymond, Fraser Aitcheson, Ed Anders, Brett Armstrong, Charlie Attrill",7.2,$ 18000000,$ 3419967,$ 7975812,61.0,R,,,,
7557,The Art of the Steal - L'arte del furto,The Art of the Steal,2013,2014-06-20,"Comedy, Crime, Thriller",90,"Canada, USA",The Weinstein Company,"Kurt Russell, Matt Dillon, Jay Baruchel, Kenneth Welsh, Chris Diamantopoulos, Katheryn Winnick, Jason Jones, Terence Stamp, Devon Bostick, Elle Downs, Durward Allan, Dax Ravina, Jasmin Geljo, Vieslav Krystyan, Stephen McHattie",6.3,,$ 64065,$ 77450,53.0,R,,,,
7558,The Bystander Theory,The Bystander Theory,2013,2013-09-17,"Drama, Mystery",94,USA,Sixth Floor Films,"Brad Leland, Wendy Zavaleta, Dameon Clarke, Rodger Boyce, Ashley Spillers, Dan Silver, Merrilee McCommas, Garrett Schenck, Dirk Van Allen, Peter Malof, Roland Uribe, Babs George, Tony Salinas, Mj Vandivier, Andre Paulk",5.3,,,,,,,,,
7559,Season of Miracles,Season of Miracles,2013,2013-10-01,"Comedy, Drama, Family",80,USA,Elevating Entertainment,"John Schneider, Grayson Russell, Andrew Wilson Williams, Nancy Stafford, Sydney Morgan Layne, Jacob Hunnicutt, Austin Vickers, Greyson Turner, Rocky Block, Reegus Flenory, Trevor Allen Martin, Joseph Lopez, Jake Studebaker, Daniel Lane Walton, Eric Williams II",5.7,,,,,,,,,
7560,Get Lucky,Get Lucky,2013,2013-03-21,Action,86,UK,Gateway Films,"Luke Treadaway, Emily Atack, Craig Fairbrass, James Cosmo, Terry Stone, T.J. Ramini, Marek Oravec, Jason Maza, Richie Campbell, Rebecca Ferdinando, Michael Coleman, Chloe Farnworth, Xavier Alcan, Sacha Bennett, Ali Cook",4.3,$ 5000000,,,,,,,,
7561,Then Again,Then Again,2013,2013-03-25,Drama,105,USA,Redwood Motion Pictures,"Aleece Jones, John Michael Herndon, Christopher Ivins, Aaron Burt, Liz Bauer, DH Lewis, Kenlyn Kanouse, Michael Russnow, Carrie Newell, Angela Stephens, Don Williams, Greg Philippi, Sorina Sambula, Marilyn Foley, Michael Taber",6.1,$ 75000,,,,,,,,
7562,Pour une femme,Pour une femme,2013,2013-07-03,Drama,110,France,Alexandre Films,"Benoît Magimel, Mélanie Thierry, Nicolas Duvauchelle, Sylvie Testud, Denis Podalydès, Julie Ferrier, Clotilde Hesme, Clément Sibony, Marc Ruchmann, Jean-Claude Bolle-Reddat, Christian Taponard, Francesco Calabrese, Franck Gourlat, Elisa Ruschke, Ondine Barry",6.5,,$ 32286,$ 1252416,59.0,,,,,
7563,Dead Kansas,Dead Kansas,2013,2013-09-24,"Adventure, Horror",64,USA,Rotten Productions,"Irwin Keyes, Ben Woolf, Juliette Danielle, Erin Miracle, Alexandria Lightford, Aaron Guerrero, Michael Camp, Kevin C. Beardsley, Joe McQueen, Anthony Della Catena, Adam Ledezma, Juan Martinez, Jose Blackman Jr., Darryl Dick, Jorge Barba",6.9,,,,,,,,,
7564,Lost for Words,Lost for Words,2013,2015-07-01,"Drama, Romance",107,Hong Kong,Studio Strada,"Jennifer Birmingham Lee, Candy Cheung, Joman Chiang, Sean Faris, Breanne Racano Ferrara, Grace Huang, Will Yun Lee, Candice Moore, Howard Paley, Geoffrey Wong, Terence Yin",3.2,,,,48.0,,,,,
7565,The Rocket,The Rocket,2013,2013-08-29,Drama,100,"Australia, Thailand, Laos",Red Lamp Films,"Boonsri Yindee, Alice Keohavong, Karen, Sitthiphon Disamoe, Chanthachone Latvongxay, Sumrit Warin, Samnuan Sankote, Jarunun Phantachat, Walter Van Veenendaal, Yuttana Muenwaja, Chaleam Ratchaborntong, Wattana Klumkrong, Suthep Po-ngam, Loungnam Kaosainam, Sopheng Thammavong",7.3,AUD 2000000,$ 56823,$ 449064,72.0,NR,,,,
7566,Yeh Jawaani Hai Deewani,Yeh Jawaani Hai Deewani,2013,2013-05-31,"Drama, Musical, Romance",160,India,Dharma Productions,"Ranbir Kapoor, Deepika Padukone, Aditya Roy Kapoor, Kalki Koechlin, Kunaal Roy Kapur, Madhuri Dixit, Farooq Shaikh, Aanoushka, Kamal Adib, Dolly Ahluwalia, Vinita Amar, Anisha, Tanvi Azmi, Priyanka Bose, Anisa Butt",7.1,,$ 3827466,$ 6189998,,NR,,,,
7567,Alpha Girls,Alpha Girls,2013,2013-09-01,"Action, Horror, Sci-Fi",90,USA,South Fellini,"Kacie Marie, Christine Fisler, Falon Joslyn, Victoria Guthrie, Nikki Bell, Beverly Rivera, Julie Chen, Nicole Cinaglia, Victor Gennaro, Patrick Maitino, Schooly-D, Ron Jeremy, Alyssa Kempinski, Shawna Ferguson, Norm Schultz",3.2,$ 28000,,,,,,,,
7568,Drones,Drones,2013,2014-06-27,Thriller,82,USA,Khaos Digital,"Matt O'Leary, Eloise Mumford, Whip Hubley, William Russ, Amir Khalighi, Mae Aswell, Vivan Dugré, Drea Garcia, Treasure Mallory, Nishi Munshi, Kevin Nelson",4.4,,,,47.0,R,,,,
7569,Empire of Dirt,Empire of Dirt,2013,2013-09-06,Drama,99,Canada,Redcloud Studios,"Cara Gee, Shay Eyre, Barbara Gordon, Jean Yoon, Shannon Kook, Jaiden Mitchell, Doug Bedard, Tonya Williams, Raoul Bhaneja, Joris Jarsky, Jennifer Podemski, Jordan Prentice, Sarah Manninen, Michael Cram, Kate Corbett",6.7,,,,,,,,,
7570,The Kings of Summer,The Kings of Summer,2013,2013-08-23,"Adventure, Comedy, Drama",95,USA,Big Beach Films,"Nick Robinson, Gabriel Basso, Moises Arias, Nick Offerman, Erin Moriarty, Craig Cackowski, William Sonnie, Nathan Keyes, Cristoffer Carter, Megan Mullally, Priscilla Kaczuk, Marc Evan Jackson, Alison Brie, Eugene Cordero, Gillian Vigman",7.1,,$ 1315590,$ 1501595,61.0,R,,,,
7571,Absolute Deception,Absolute Deception,2013,2013-07-17,"Action, Drama, Thriller",92,"USA, Australia, Canada",Limelight International Media Entertainment,"Cuba Gooding Jr., Emmanuelle Vaugier, Evert McQueen, Ty Hungerford, Chris Betts, Kelly Atkinson, Brad McMurray, Gulliver Page, Jeff Gannon, Martin Sacks, Simone Bennett-Smith, James Bolton, Brooke Chamberlain, Brittany Christine, Sean Edward Frazer",4.2,$ 5000000,,,,,,,,
7572,Dear Sidewalk,Dear Sidewalk,2013,2015-02-10,"Comedy, Drama, Romance",89,USA,Barcode Films,"Joseph Mazzello, Michelle Forbes, Josh Fadem, Davi Jay, Hugo Perez, C.K. McFarland, Lana Dieterich, Roark Critchlow, Ashley Spillers, Rachel Myhill, Barry Tubb, Irene White, Steve Uzzell, Alyshia Ochse, John Ennis",6.7,,,,,,,,,
7573,Apio Verde,Apio Verde,2013,2013-07-01,"Drama, Horror, Thriller",115,Chile,Efecto Moral Films,"Catherine Mazoyer, Cristián Gajardo, Catalina Aguayo, Sonia Mena, Teresita Reyes, Andrés Gómez, Carolina Paulsen, Jenny Cavallo, Alejandro Trejo, Gregory Cohen, Claudia Hidalgo, Paulina González, Pilar Cortés, Andrés Olea, Pamela Leiva",1.8,,,,,,,,,
7574,Jadoo,Jadoo,2013,2013-09-06,Comedy,84,UK,AIR Productions,"Ray Panthaki, Tom Mison, Amara Karan, Adeel Akhtar, Nikesh Patel, Paul Bazely, Kulvinder Ghir, Sophiya Haque, Madhur Jaffrey, Shane Zaza, Harish Patel, Mike Noble, Kiran Landa, Neil D'Souza, Ramanique Ahluwalia",6.0,,,$ 110073,,,,,,
7575,Malignant,Malignant,2013,2014-05-22,"Horror, Sci-Fi, Thriller",85,USA,Modernciné,"Gary Cairns, Brad Dourif, Nick Nicotera, Sienna Farall, Stefan Avalos, Jennifer Blanc-Biehn, Dana Daurey, Tanner Davis, Ken Dickason, Karla Droege, Saidah Arrika Ekulona, Darren P. Leis, Thomas Loureiro, Suzan Meier, Trista Robinson",4.4,,,,,,,,,
7576,Milwood,Milwood,2013,2013-10-01,"Drama, Horror, Mystery",90,"USA, Bulgaria",Roman Media,"Christian Goodwin, Jimmy Scanlon, Michelle Romano, Don Tempesta, Trudi Goodman, Tiffany Shepis, Vinny Vella, Kevin Barbare, Kristi Barron, Michael Thurber, Stacey Poirier, Molly Bettencourt, Tristan Comeau, Sierra Preveza, Adam J. Freeman",3.1,,,,,,,,,
7577,Fanie Fourie's Lobola,Fanie Fourie's Lobola,2013,2013-03-01,"Comedy, Romance",97,South Africa,Out of Africa Entertainment,"Eduan van Jaarsveldt, Zethu Dlomo, Jerry Mofokeng, Marga van Rooy, Motlatsi Mafatshe, Chris Chameleon, Yule Masiteng, Richard van der Westhuizen, Connie Chiume, Lillian Dube, Cherie van der Merwe, Angelique Pretorius, Nina Marais, Khumbuzile Maphumulo, Thabo Rametsi",6.8,$ 1000000,,$ 395764,,,,,,
7578,Houston,Houston,2013,2013-12-05,Drama,107,"Germany, USA",Lichtblick Media,"Ulrich Tukur, Garret Dillahunt, Jenny Schily, Wolfram Koch, Jason Douglas, Jens Münchow, Jennifer Almaguer, Edgar Arreola, Julin, Ricky Catter, Scottie Jefferies, Rocfielle Living, Kasey James, Cheryl Stell, Maurizio Magno",5.8,$ 3000000,,,,,,,,
7579,Legenda No. 17,Legenda No. 17,2013,2013-04-18,"Biography, Drama, Sport",134,Russia,Three T Productions,"Danila Kozlovsky, Oleg Menshikov, Svetlana Ivanova, Vladimir Menshov, Aleksandr Lobanov, Sergey Genkin, Roman Madyanov, Aleksandr Yakovlev, Alejandra Grepi, Boris Shcherbakov, Darya Ekamasova, Javier Alcina, Daniel Olbrychski, Valentin Smirnitskiy, Nina Usatova",7.5,EUR 10000000,,$ 29295378,,,,,,
7580,Den som söker,Den som söker,2013,2013-04-12,"Drama, Thriller",101,Sweden,JKF Media och Finans,"Josephine Bornebusch, Björn Granath, Claes Ljungmark, Ingela Olsson, Erik Johansson, Tyra Olin, Louise Peterhoff, Chatarina Larsson, Mikaela Knapp, Niklas Falk, Pia Green, Sigrid Holmberg, Marika Lindström, Pernilla Norén, Richard Paulson",5.0,SEK 5500000,,,,,,,,
7581,Silent Ones,Silent Ones,2013,2014-12-11,"Drama, Mystery, Thriller",97,"Netherlands, Hungary",Rotterdam Films,"Fatih Dervisoglu, Roland Rába, Orsolya Tóth",7.4,,,,,,,,,
7582,Ta hronika tou Drakofoinika: Adamastos,Ta hronika tou Drakofoinika: Adamastos,2013,2013-11-14,"Action, Adventure, Fantasy",126,Greece,Avalon Productions,"Yannis Rubus Rubulias, Constantina Georganta, Georgia Giannakoudi, Meletis Georgiadis, Kyriakos Korogiannis, Thanos Kermitsis, Aris Kaplanidis, George Mpougos, Konstantina Tatsi, Vasilis Logios, Thanos Liakos, Kostis Antoninis, Ioannis Triantafillou, Antonis Droulias, Vasilis Orphanides",5.9,EUR 10000,,,,,,,,
7583,L'estate all'improvviso,Summer in February,2013,2013-06-14,"Biography, Drama, Romance",100,UK,CrossDay Productions Ltd.,"Dominic Cooper, Dan Stevens, Jane Cussons, Daphne Neville, Mia Austen, Hattie Morahan, Max Deacon, Shaun Dingwall, Michael Maloney, Emily Browning, Tom Ward-Thomas, Joshua James, Ollie Marsden, Roger Ashton-Griffiths, Camille O'Sullivan",5.6,GBP 5000000,$ 1624,$ 605403,22.0,NR,,,,
7584,La notte del giudizio,The Purge,2013,2013-08-01,"Horror, Thriller",85,"USA, France",Universal Pictures,"Ethan Hawke, Lena Headey, Max Burkholder, Adelaide Kane, Edwin Hodge, Rhys Wakefield, Tony Oller, Arija Bareikis, Tom Yi, Chris Mulkey, Tisha French, Dana Bunch, Peter Gvozdas, John Weselcouch, Alicia Vela-Bailey",5.7,$ 3000000,$ 64473115,$ 89328627,41.0,R,,,,
7585,Beside Still Waters,Beside Still Waters,2013,2014-11-14,"Comedy, Drama, Romance",76,USA,Storyboard Entertainment,"Ryan Eggold, Beck Bennett, John Lorenger, Brett Dalton, Will Brill, Erin Darke, Jessy Hodges, Britt Lower, Reid Scott, Larry Rellinger",6.4,,,,42.0,NR,,,,
7586,Collider,Collider,2013,2013-11-14,Sci-Fi,79,"Portugal, Ireland",CR Entertainment,"Iain Robertson, Jamie Maclachlan, Teresa Tavares, Lucy Cudden, Amy Cudden, Marco Costa, Bella Heesom, Rui Soares, Emily Larkin, Susana Tavares",3.3,,,,,,,,,
7587,Oshin,Oshin,2013,2013-10-12,"Biography, Drama, Family",110,"Japan, China",Asahi Shimbun,"Kokone Hamada, Aya Ueto, Kayoko Kishimoto, Manami Igashira, Ayako Kobayashi, Shinnosuke Mitsushima, Ryôsuke Nogi, Gorô Inagaki, Guts Ishimatsu, Pinko Izumi, Jitsuko Yoshimura",7.2,,,$ 3357828,,,,,,
7588,Un fantasma per amico,Das kleine Gespenst,2013,2014-10-30,"Family, Fantasy",92,"Germany, Switzerland",Claussen Wöbke Putz Filmproduktion,"Jonas Holdenrieder, Emily Kusche, Nico Hartung, Herbert Knaup, Bettina Stucky, Uwe Ochsenknecht, Carlos Richter, Stefan Merki, Aykut Kayacik, Aljoscha Stadelmann, Till Valentin Winter, Judith Rosmair, Sandra Borgmann, Stephan Kampwirth, Jaymes Butler",5.7,,,$ 8589894,,,,,,
7589,36 Saints,36 Saints,2013,2013-09-06,Thriller,81,USA,Active Fox Productions,"Franky G, Jeffrey De Serrano, Donna McKechnie, Jamie Tirelli, Britne Oldford, Tyrone Marshall Brown, Matthew Daddario, Aja Naomi King, Chris Riggi, Alesandra Assante, Allan Louis, Laverne Cox, Raul Casso, Mihaela Kolich, Joey Dedio",2.7,,$ 11640,$ 11640,19.0,,,,,
7590,Chemi sabnis naketsi,Chemi sabnis naketsi,2013,2013-02-07,Drama,73,Georgia,Zazarfilm,"Tornike Bziava, Tornike Gogrichiani, Giorgi Nakashidze, Avtandil Makharadze, Zura Kipshidze, Lyudmila Artemeva, Marina Janashia, Maka Makharadze, Darejan Kharshiladze, Shota Kristesashvili, Akaki Khidasheli, Giorgi Giorganashvili",5.7,,,,,,,,,
7591,All Stars,All Stars,2013,2013-05-03,"Comedy, Family",106,"UK, Germany",SquareOne Entertainment,"Theo Stevenson, Akai Osei, Ashley Jensen, Fleur Houdijk, Dominic Herman-Day, Amelia Clarkson, Gamal Toseafa, Hanae Atkins, Summer Davies, Soner Metin, Kimberley Walsh, Kieran Lai, Ashley Walters, Javine Hylton, Kevin Bishop",5.0,,,$ 5749245,,PG,,,,
7592,Five Dances,Five Dances,2013,2013-10-04,"Drama, Music, Romance",83,USA,Perry Street Pictures,"Ryan Steele, Reed Luplau, Catherine Miller, Kimiye Corwin, Luke Murphy, LuLu Roche, Michael Borrelli",7.1,,$ 5788,$ 5788,51.0,NR,,,,
7593,Forbidden Ground,Forbidden Ground,2013,2013-12-11,"Action, Drama, War",95,Australia,24/7 Films,"Johan Earl, Tim Pocock, Martin Copping, Denai Gracie, Sarah Mawbey, Barry Quin, Damian Sommerlad, Oliver Trajkovski, Igor Breakenback, Byron J. Brochmann, Gudmund Helmsdal, Alex Jewson, Steve Maxwell, James Shepherd, Craig Walker",4.9,AUD 1500000,,,,,,,,
7594,20 anni di meno,20 ans d'écart,2013,2013-05-09,"Comedy, Romance",92,France,Echo Films,"Virginie Efira, Pierre Niney, Charles Berling, Gilles Cohen, Amélie Glenn, Camille Japy, Michaël Abiteboul, Camille Pélicier, Jenna Azoulay, Camille Chalons, Louis-Do de Lencquesaing, Aude Pépin, Arthur Mazet, Sophie-Marie Larrouy, Marcella Sbraletta",6.4,,,$ 12604999,,,,,,
7595,Samar,Samar,2013,2013-01-13,"Action, Adventure, Thriller",157,India,Balaji Real Media,"Vishal, Trisha Krishnan, Sunaina, Manoj Bajpayee, J.D. Chakravarthi, V. Jayaprakash, Sampath Raj, Motta Rajendran, Joy Badlani",5.5,INR 470000000,,$ 11132,,,,,,
7596,Il caso Kerenes,Pozitia copilului,2013,2013-06-13,Drama,112,Romania,Parada Film,"Luminita Gheorghiu, Bogdan Dumitrache, Natasa Raab, Ilinca Goia, Florin Zamfirescu, Vlad Ivanov, Mimi Branescu, Cerasela Iosifescu, Adrian Titieni, Tania Popa, Leontina Vaduva, Ion Grosu, Oxana Moravec, Mihai Dorobantu, Nicolae Scarlat",7.4,EUR 850000,$ 97170,$ 994126,77.0,,,,,
7597,Thanga Meengal,Thanga Meengal,2013,2013-08-30,Drama,140,India,Photon Kathaas,"Ram, Sadhana, Shelly Nabu Kumar, Rohini, Padmapriya, Lizzy, 'Poo' Ram, Ramya, Baby Sanjana, Master Adithya, Nivas Adithan, Lizzie Antony",7.9,INR 35000000,,,,,,,,
7598,Escape from Tomorrow,Escape from Tomorrow,2013,2014-07-19,"Drama, Fantasy, Horror",90,USA,Mankurt Media,"Roy Abramsohn, Elena Schuber, Katelynn Rodriguez, Jack Dalton, Danielle Safady, Annet Mahendru, Lee Armstrong, Kimberly Ables Jindra, Trey Loney, Amy Lucas, Alison Lees-Taylor, Jakob Salvati, Mark Able, Anthony Oporta, Alexis Ottier",5.1,,$ 171962,$ 171962,58.0,,,,,
7599,Nazotoki wa dinâ no ato de,Nazotoki wa dinâ no ato de,2013,2013-08-03,Mystery,121,Japan,Fuji Television Network,"Shô Sakurai, Keiko Kitagawa, Tôru Nomaguchi, Yasuhi Nakamura, Anri Okamoto, Konatsu Tanaka, Kippei Shîna, Masatoshi Nakamura, Nanami Sakuraba, Jun Kaname, Tomoka Kurotani, Masahiro Kômoto, Kôji Ohkura, Kazuya Kojima, Eri Murakawa",6.2,,,$ 32160741,,,,,,
7600,Alle for to,Alle for to,2013,2013-01-31,"Comedy, Crime",89,Denmark,Den Vestdanske Filmpulje,"Jonatan Spang, Rasmus Bjerg, Mick Øgendahl, Kurt Ravn, Kim Bodnia, Stine Stengade, Gordon Kennedy, Lise Koefoed, Laura Christensen, Martin Buch, Anne-Grethe Bjarup Riis, Westh Ole, Adam Ild Rohweder, Gitte Siem, Hans Henrik Voetmann",5.8,,,$ 5513338,,,,,,
7601,Faro,Faro,2013,2013-03-15,"Adventure, Drama",88,"Sweden, Finland",BOB Film Sweden AB,"Jakob Cedergren, Clara Christiansson, Maria Heiskanen, Göran Stangertz, Gunnel Fred, Per Burell, Lena Carlsson, Elisabeth Göransson, Thomas Nystedt, Mats Björklund, Magnus Andersson, Gunnar Abrahamsson, Maria Karlsson, Bessie, Kurt",5.7,,,,,,,,,
7602,Mortal Remains,Mortal Remains,2013,2013-10-13,"Horror, Mystery, Thriller",95,USA,Cryptic Pictures,"John Amplas, Bryan Beard, Elizabeth Brokaw, Charles Craig, Eric Cravenor, Michael Coote, Brett Day, Mia Gillespie, Peter Graf, Michael Gornick, James 'Doc' Herrmann, Grant L. Hopkins, Mark Janicko, Derek January, Addison Johns",5.8,,,,,,,,,
7603,Ritual - Una storia psicomagica,Ritual - Una storia psicomagica,2013,2014-05-08,Thriller,90,Italy,Esperimentocinema,"Désirée Giorgetti, Ivan Franek, Anna Bonasso, Alejandro Jodorowsky, Cosimo Cinieri, Patrizia Laquidara, Roberta Sparta, Fabio Gemo, Nicola Arabi, Gaia Ziche, Igino Brazzale, Giulia Carissimi, Vittorio Faggionato, Beatrice Gasparotto, Vanessa Ignazzi",5.1,EUR 1000000,,,,,,,,
7604,Flushers,Flushers,2013,2013-09-01,Comedy,120,Germany,Premium Media,"Afshin Akhavan, Azadeh Azargoon, Shiva Azargoon, Shirin Azari, Claudine Biswas-MacKenzie, Laura Bugat, Eddie Bulgari, Hasan Demirci, Georg Dokoupil, Nikos Epides, Kimberly Gessner, Arash Kalani, Ali Karimkhani, Maral Keshvarz, Anastasiia Kirilik",3.8,EUR 1000000,,,,,,,,
7605,The House That Jack Built,The House That Jack Built,2013,2013-06-16,"Drama, Family",90,USA,Walk Up Productions,"E.J. Bonilla, Melissa Fumero, Leo Minaya, Flor De Liz Perez, Saundra Santiago, John Herrera, Rosal Colon, Javier Muñoz, Desmin Borges, Danny Henriquez, Raymond T. Williams, Judith Delgado, Jose Soto, Fidel Vicioso, George Bass",6.2,,,,,R,,,,
7606,Somos gente honrada,Somos gente honrada,2013,2013-06-14,Comedy,86,"Spain, Portugal",Axencia Galega das Industrias Culturais (AGADIC),"Paco Tous, Miguel de Lira, Unax Ugalde, Manuela Vellés, Marisol Membrillo, Manuel Lozano, Ricardo de Barreiro, Antonio Durán 'Morris', Luis Iglesia, Xosé Manuel Olveira 'Pico', Luisa Merelas, Axel Fernandez, Santiago Romay, Zé Paredes, Xúlio Abonjo",5.5,EUR 1800000,,$ 186618,,,,,,
7607,Made in Belfast,Made in Belfast,2013,2013-04-11,Drama,85,UK,Village Films,"Kevin Keenan, Ciarán McMenamin, Shauna Macdonald, Shaun Blaney, Roisin Gallagher, Owen McDonnell, Stuart Graham, Lalor Roddy, Tara Lynne O'Neill, Alexandra Ford, Bronagh Gallagher, Paul Kennedy, Gary Lightbody, Colin Ash, Helena Bereen",6.3,,,,,,,,,
7608,Una promessa,A Promise,2013,2014-10-02,"Drama, Romance",98,"France, Belgium",Fidélité Films,"Rebecca Hall, Alan Rickman, Richard Madden, Toby Murray, Maggie Steed, Shannon Tarbet, Jean-Louis Sbille, Sarah Messens, Jonathon Sawdon, Caroline Donnelly, Peter Kern, Andrew McIlroy, Christelle Cornil, Gordon Wilson",5.7,,,$ 491204,36.0,R,,,,
7609,Un weekend da bamboccioni 2,Grown Ups 2,2013,2013-11-07,Comedy,101,USA,Columbia Pictures,"Adam Sandler, Kevin James, Chris Rock, David Spade, Salma Hayek, Maya Rudolph, Maria Bello, Nick Swardson, Steve Buscemi, Colin Quinn, Tim Meadows, Jon Lovitz, Shaquille O'Neal, Alexander Ludwig, Georgia Engel",5.4,$ 80000000,$ 133668525,$ 246984278,19.0,PG-13,,,,
7610,Proxy,Proxy,2013,2014-04-18,"Drama, Horror, Thriller",120,USA,Along The Tracks,"Joe Swanberg, Alexa Havins, Kristina Klebe, Alexia Rasmussen, Adam Stephenson, Erika Hoveland, Jim Dougherty, Kitsie Duncan, Mark A. Nash, Glenna Reinhardt, Faust Checho, Shayla Hardy, Dennis Crosswhite, Bruce Spielbauer, Melissa O'Brien",5.7,,,,57.0,NR,,,,
7611,Gizem Birimi,Gizem Birimi,2013,2013-03-03,Sci-Fi,95,Turkey,Aver Production,"Begum Arslan, Serhan Atesok, Guven Delikanli, Seyfettin Delikanli, Burcu Gulhuz Gencturk, Fatos Gezmis, Hakan Huseyin Gul, Jeffrey Howison, Cigdem Kaya, Irem Kurt, Ugur Kurt, Avni Alp Mumcu, Eren Okumus, Orhan Ozturk",7.8,TRL 10000,,,,,,,,
7612,Tumman veden päällä,Tumman veden päällä,2013,2013-09-06,Drama,108,Finland,Solar Films,"Olavi Angervo, Matleena Kuusniemi, Milja Tuunainen, Samuli Edelmann, Ismo Kallio, Marja Packalén, Peter Franzén, Mio Hamari, Tommi Raitolehto, Mari Perankoski, Elina Knihtilä, Jonna Järnefelt, Janne Kinnunen, Vieno Saaristo, Markku Köngäs",6.5,EUR 1492000,,$ 1045022,,,,,,
7613,Bäst före,Bäst före,2013,2013-03-22,"Comedy, Drama",101,Sweden,Eyeworks Sweden,"Brasse Brännström, Kjell Bergqvist, Göran Ragnerstam, Ewa Fröling, Erik Almén, Hanna Alström, Fred Anderson, Lars-Erik Berenett, Lena-Pia Bernhardsson, Tove Edfeldt, Ida Engvoll, Claudia Galli, Andrea Gerak, Maria Grip, Nina Gunke",4.9,,,$ 1614996,,,,,,
7614,Kalevala - uusi aika,Kalevala - uusi aika,2013,2013-11-15,"Drama, Fantasy",110,Finland,Seppä Callahanin Filmimaailma Oy,"Tommi Eronen, Tanjalotta Räikkä, Konsta Mäkelä, Pirjo Lonka, Pauli Poranen, Maija-Liisa Ström, Ville Tiihonen, Ari Vakkilainen, Olavi Uusivirta, Don Halmela, Henrik Saarinen, Inga Björn, Laila Räikkä, Jukka Hytti, Sari Pikkarainen",3.8,EUR 250000,,$ 22588,,,,,,
7615,Ainoat oikeat,Ainoat oikeat,2013,2013-12-27,"Comedy, Romance",117,Finland,Yellow Film & TV,"Anna-Maija Tuokko, Antti Reini, Ilkka Villi, Inka Kallén, Jenni Kokander, Sampo Sarkola, Frans Isotalo, Aarni Kivinen, Ville Myllyrinne, Mari Rantasila, Johanna af Schultén, Leena Uotila, Eeva Putro, Pirjo Heikkilä, Juha Hippi",5.7,EUR 1490000,,$ 1441699,,,,,,
7616,Fractured,Fractured,2013,2013-04-14,Thriller,91,USA,4PIX,"Callum Blue, Vinnie Jones, Ashlynn Yennie, Nicole LaLiberte, Jon Eyez, Lance E. Nichols, Tim Bellow, Indigo, Skitch King, Marjorie Parker, Alex Galick, Brent Phillip Henry, Bjanka Murgel, Adela Santoy, Eric F. Adams",4.2,$ 3300000,,,,NR,,,,Fractured
7617,The Counselor - Il procuratore,The Counselor,2013,2014-01-16,"Crime, Drama, Thriller",117,"UK, USA",Fox 2000 Pictures,"Michael Fassbender, Penélope Cruz, Cameron Diaz, Javier Bardem, Cesar Aguirre, Daniel Holguín, Chris Obi, Bruno Ganz, Richard Cabral, Provence Maydew, Brad Pitt, Paris Jefferson, Dar Dash, Rosie Perez, Alex Hafner",5.3,$ 25000000,$ 16973715,$ 71009334,48.0,R,,,,
7618,Benvenuti nella giungla,Welcome to the Jungle,2013,2014-02-08,"Action, Adventure, Comedy",95,"Puerto Rico, USA, UK",The Salt Company International,"Jean-Claude Van Damme, Adam Brody, Rob Huebel, Megan Boone, Kristen Schaal, Dennis Haysbert, Aaron Takahashi, Eric Edelstein, Juan C. Defendini, Zev Glassenberg, Tommy Kavelin, Michael J. Morris, Teeadora Paz, Robert Peters, John Piñero",4.9,$ 3500000,,,25.0,NR,,,,Welcome to the Jungle
7619,Main Hoon Shahid Afridi,Main Hoon Shahid Afridi,2013,2013-08-23,"Drama, Sport",130,Pakistan,Six Sigma Entertainment,"Noman Habib, Humayun Saeed, Mahnoor Baloch, Javed Sheikh, Nadeem Baig, Ismail Tara, Hamza Ali Abbasi, Shehzad Sheikh, Ainy Jaffri, Farhana Maqsood, Shafqat Cheema, Summer Nicks, Gohar Rasheed, Ainan Arif, Mohammad Ahmad",7.4,PKR 90000000,,,,,,,,
