,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company_x,avg_vote,budget,worldwide_gross_income,metascore,content_rating,actors_y
1706,Stronger - Io sono pi� forte,Stronger,2017,2018.7.4,"Biography, Drama",119,USA,English,David Gordon Green,"John Pollono, Jeff Bauman",Lionsgate,6.9,"$30,000,000 ","$8,503,658 ",76,R,"Jake Gyllenhaal, Tatiana Maslany, Clancy Brown, Miranda Richardson, Frankie Shaw"
1707,The Boy,The Boy,2016,2016.5.12,"Horror, Mystery, Thriller",97,"USA, Canada, China",English,William Brent Bell,Stacey Menear,Lakeshore Entertainment,6,"$10,000,000 ","$74,136,180 ",42,PG-13,"Lauren Cohan, Rupert Evans, Jim Norton, Diana Hardcastle, Ben Robson, Jett Klyne, Lily Pater, Stephanie Nicole Lemelin, Matthew Walker, James Russell, Jared Breeze, Bill Sage, Mike Vogel, Zuleikha Robinson, Aiden Lovekamp, Sam Morse, Manuela Guerra"
1709,Baby Driver - Il genio della fuga,Baby Driver,2017,2017.9.7,"Action, Crime, Drama",113,"UK, USA","English, American Sign Language",Edgar Wright,Edgar Wright,TriStar Pictures,7.6,"$34,000,000 ","$226,945,087 ",86,R,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal, Eiza Gonzalez, Jon Hamm, Jamie Foxx, Sky Ferreira, Lance Palmer, Lanny Joon, Micah Howard, Morgan Brown, CJ Jones, Hudson Meek, Viviana Chavez, Hal Whiteside, Flea, Clay Donahue Fontenot, Brigitte Kali, Patrick Walker, Ben VanderMey, David Robert Lewis, Antwan 'Big Boi' Patton, Killer Mike, Brogan Hall, Allison Gabriel, R. Marcos Taylor, Paul Williams, Joe Loya, Andy McDermott, Christopher Beanland, Andrea Frye, Thomas E. Haynes, Russell B. Spencer, Cynne Simpson, Keith Hudson, Sidney Sewell, Thurman Sewell, Elijah Everett, Jonathan Spencer, Walter Hill, Wilbur Fitzgerald"
1710,Guardiani della Galassia Vol. 2,Guardians of the Galaxy Vol. 2,2017,2017.4.25,"Action, Adventure, Comedy",136,USA,English,James Gunn,"James Gunn, Dan Abnett",Marvel Studios,7.6,"$200,000,000 ","$863,756,051 ",67,PG-13,"Chris Pratt, Zoe Saldana, Dave Bautista, Bradley Cooper, Vin Diesel, Michael Rooker, Karen Gillan, Kurt Russell, Elizabeth Debicki, Pom Klementieff, Chris Sullivan (XII), Sean Gunn"
1711,Brian Banks,Brian Banks,2018,2019.8.9,"Biography, Drama, Sport",99,USA,English,Tom Shadyac,Doug Atchison,ShivHans Pictures,7.2,"$10,000,000 ","$4,376,819 ",58,PG-13,"Aldis Hodge, Greg Kinnear, Sherri Shepherd, Melanie Liburd, Dorian Missick, Tiffany Dupont, Matt Battaglia"
1712,Lo spazio che ci unisce,The Space Between Us,2017,2017.6.3,"Drama, Romance, Sci-Fi",120,USA,English,Peter Chelsom,"Allan Loeb, Stewart Schill",Los Angeles Media Fund (LAMF),6.4,"$30,000,000 ","$16,080,475 ",33,PG-13,"Gary Oldman, Asa Butterfield, Carla Gugino, Britt Robertson, B.D. Wong, Janet Montgomery"
1713,Tartarughe Ninja - Fuori dall'ombra,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,2016.7.7,"Action, Adventure, Comedy",112,"USA, Hong Kong, China, Canada, Denmark, Germany, UK",English,Dave Green,"Josh Appelbaum, Andr� Nemec",Paramount Pictures,6,"$135,000,000 ","$245,623,848 ",40,PG-13,"Megan Fox, Will Arnett, Stephen Amell, Laura Linney, Alan Ritchson, Noel Fisher, Jeremy Howard, Pete Ploszek, Alessandra Ambrosio, Brian Tee, Tyler Perry, Fred Armisen, Tony Shalhoub, Sheamus O'Shaunessy, Judith Hoag, Gary Anthony Williams, Brittany Ishibashi, Peter D. Badalamenti II, Brad Garrett, Danny Woodburn, Opal Alladin, Connor Fox, Stan Demidoff, Jill Martin, Greg Hildreth, Dean Winters, Antoinette Kalaj, Alice Callahan, Jane Wu, Jane Wurster, Steve Lacy, Carmelo Anthony, Jonathan Redick, DeAndre Jordan, Matt Barnes, Austin Rivers, Langston Arnold Galloway, Shane Larkin, Lou Amundson, Andrea Bargnani, Quincy Acy, Courtney L. Kirkland, Justin Van Duyne, Joslyn Brewster, Robert Clohessy, Alexis Suarez, John Palladino, Meredith Travers, Edwin J. Birmingham, Paul Michael Teutul, Kevin Eastman"
1715,Vite da popstar,Popstar: Never Stop Never Stopping,2016,2016.6.3,"Comedy, Music",87,"USA, China",English,"Akiva Schaffer, Jorma Taccone","Andy Samberg, Akiva Schaffer",Universal Pictures,6.7,"$20,000,000 ","$9,680,029 ",68,R,"Andy Samberg, Jorma Taccone, Akiva Schaffer, Sarah Silverman, Tim Meadows, Maya Rudolph, Joan Cusack, Imogen Poots, Chris Redd, Edgar Blackmon, James Buckley (II), Evan Fine, Maxwell Jenkins, Elliott Smith, Ahmir ""Questlove"" Thompson, Carrie Underwood, Nas, Usher Raymond, 50 Cent, Nicholas Azarian, Ringo Starr, Simon Cowell, Akon, Mariah Carey, Adam Levine, Ashley Moore, Danny Strong, P!nk, Big Boy, DJ Khaled, ASAP Rocky, Kevin Nealon, Mario López, Patricia Schaffer, James Hegarty, Walker William Borba, Will Arnett, Chelsea Peretti, Mike Birbiglia, Eric André, Bill Hader, Joanna Newsom, Jonah Goldstein, Andre Hyland, Mike Winfield, Danger Mouse, RZA, Chester Tam, T.I., Pharrell Williams, Seal, Paul Scheer, Adrien Finkel, Christine Krumme, Ben Newell, Joy Lanceta, Jimmy Fallon, Win Butler, Régine Chassagne, Steve Higgins, Derek Mears, Alison Hermine Rich, Martin Sheen, Will Forte, Marielle Heller, Snoop Dogg, Ithamar Enriquez, Liz Cackowski, Weird Al Yankovic, Michael Bolton, Damon Bryson, Kirk Douglas (V), James Poyser, James Poyser, Mark Kelley, Ian Hendrickson-Smith, Tariq Trotter, Frank Walker"
1716,I predoni,Marauders,2016,2016.7.1,"Action, Crime, Thriller",107,"Canada, USA",English,Steven C. Miller,"Michael Cody, Chris Sivertson",Emmett/Furla/Oasis Films (EFO Films),5.5,"$15,000,000 ","$1,616,004 ",42,R,"Christopher Meloni, Bruce Willis, Dave Bautista, Adrian Grenier, Johnathon Schaech, Lydia Hull, Tyler Jon Olson, Texas Battle, Christopher Rob Bowen, Chris W. Hill, Danny A. Abeckaser, Tara Holt, Alyshia Ochse, Carolyn Alise, Ryan O'Nan, Shea Buckner, Michael Urriquia, Rico Simonini, Kristen Rae Myers, Torrie Wilson, Alora Catherine Smith, Karen Strassman, Kayla Perkins, Charlotte Kirk, Derek DuChesne, Myra Zimmerman Grubbs, Derrek Du Chesne, Richard Fike, Richie Chance"
1717,Mustang,Mustang,2015,2015.10.29,Drama,97,"Turkey, France, Germany, Qatar",Turkish,Deniz Gamze Erg�_en,"Deniz Gamze Erg�_en, Alice Winocour",CG Cin�_a,7.6,"$1,581,221 ","$5,274,664 ",83,PG-13,"Günes Sensoy, Ayberk Pekcan, Bahar Kerimoglu, Burak Yigit, Suzanne Marrot, Aynur Komecoglu, Serife Kara, Serif Erol, Sevval Aydin, Erol Afsin, Enes Surum, Aziz Komecoglu, Kadir Celebi, Muzeyyen Celebi, Aykut Karatay, Ercan Koksal, Serpil Ucar, Huseyin Baysal, Seril Reis"
1719,The Monster,The Monster,2016,2016.10.6,"Drama, Fantasy, Horror",91,Canada,English,Bryan Bertino,Bryan Bertino,Atlas Independent,5.4,"$2,700,000 ","$74,700 ",69,R,"Zoe Kazan, Scott Speedman, Ella Ballentine, Aaron Douglas, Chris Webb, Christine Ebadi"
1720,La casa di Jack,The House That Jack Built,2018,2019.2.28,"Crime, Drama, Horror",152,"Denmark, France, Sweden, Germany, Belgium, Tunisia","English, German, Italian",Lars von Trier,"Lars von Trier, Lars von Trier",Zentropa Entertainments,6.8,"$10,582,019 ","$3,126,916 ",42,R,"Matt Dillon, Bruno Ganz, Uma Thurman, Siobhan Fallon Hogan, Sofie Gråbøl, Riley Keough, Jeremy Davies"
1721,Colonia,Colonia,2015,2016.5.26,"Biography, Drama, History",110,"Germany, France, Luxembourg, UK, USA","English, Spanish",Florian Gallenberger,"Torsten Wenzel, Florian Gallenberger",Majestic Filmproduktion,7.1,"$14,000,000 ","$3,621,046 ",33,R,"Emma Watson, Daniel Brühl, Michael Nyqvist, Richenda Carey, Vicky Krieps, Jeanne Werner, Julian Ovenden, Martin Wuttke, August Zirner, Stefan Merki, Nicolás Barsoff, César Bordón, Lucila Gandolfo, Johannes Allmayer, Gilles Soeder, Katharina Müller-Elmau, Paul Herwig, Etienne Halsdorf, Jules Waringo, Johannes Frolich, Lauren Jane Pringle, Alexia Moyano, Lydia Stevens, Natalia Señorales, Florian Gallenberger, Benjamin Herrmann, Torsten Wenzel, John Fernando Velazquez, Nicolas Steil"
1722,Black,Black,2015,2016.8.30,"Action, Crime, Drama",95,Belgium,"French, Dutch, Arabic, Lingala","Adil El Arbi, Bilall Fallah","Nele Meirhaeghe, Adil El Arbi",A Team Productions,7.1,"$1,459,589 ","$1,692,776 ",74,G,"Amitabh Bachchan, Rani Mukerji, Ayesha Kapur, Shernaz Patel, Ayesha Kapoor, Dhritiman Chatterjee, Dhritiman Chaterji, Nandana Sen, Sillo Mahava, Chippy Gangjee, Mahabanoo Mody-Kotwal, Salomi Roy Kapur, Kenny Desai, Bomie E. Dotiwala, Jeroo Shroff, Bomi Kapadia, Kamal Adib, Arif Ali Shah"
1723,Nell'ombra di un delitto,Exposed,2016,2016.1.22,"Crime, Drama, Mystery",102,USA,"English, Spanish",Gee Malik Linton,Gee Malik Linton,Company Films,4.3,"$6,000,000 ","$269,915 ",23,R,"Ana de Armas, Keanu Reeves, Christopher McDonald, Big Daddy Kane, Mira Sorvino, Gabe Vargas, Venus Ariel, Michael Rispoli, Ismael Cruz Córdova, Jeanette Dilone, Denia Brache, Ariel Rolando Pacheco, Melissa Cardello Linton, Sandy Tejada, Anthony Ruiz, Stephen Thompson, Danny Guzman, Leopold Manswell, Justice Quiroz, Juan Pablo González, Gilbert Cruz, Clara Wong, Louis Martinez, Amaurys Rodriguez, Hortensia Colorado, Daniel Ojeda Astigarraga, Shirley Roeca, Jewel Donohue, Monte Greene, Nelson Landrieu, Julissa Roman, Andrew Polk, Danny Hoch"
1724,The Bye Bye Man,The Bye Bye Man,2017,2017.4.19,"Drama, Fantasy, Horror",96,"USA, China",English,Stacy Title,"Jonathan Penner, Robert Damon Schneck",Huayi Brothers Media,4.2,"$7,400,000 ","$29,874,280 ",37,PG-13,"Cressida Bonas, Lucien Laviscount, Doug Jones, Carrie-Anne Moss, Faye Dunaway, Jenna Kanell, Erica Tremblay, Marisa Echeverria"
1725,Manchester by the Sea,Manchester by the Sea,2016,2017.2.16,Drama,137,USA,English,Kenneth Lonergan,Kenneth Lonergan,Amazon Studios,7.8,"$9,000,000 ","$78,988,148 ",96,R,"Casey Affleck, Kyle Chandler, Lucas Hedges, Gretchen Mol, Josh Hamilton, C.J. Wilson, Kara Hayward, Matthew Broderick, Tate Donovan, Paul Meredith"
1726,Swiss Army Man - Un amico multiuso,Swiss Army Man,2016,2016.7.1,"Comedy, Drama, Fantasy",97,"USA, Sweden",English,"Dan Kwan, Daniel Scheinert","Daniel Scheinert, Dan Kwan",Blackbird,7,"$3,000,000 ","$4,935,501 ",64,R,"Paul Dano, Daniel Radcliffe, Mary Elizabeth Winstead, Richard Gross, Timothy Eulich, Marika Casteel, Shane Carruth, Andy Hull, Antonia Ribero, Aaron Marshall"
1727,Maze Runner - La fuga,Maze Runner: The Scorch Trials,2015,2015.10.15,"Action, Adventure, Sci-Fi",131,USA,English,Wes Ball,"T.S. Nowlin, James Dashner",Gotham Group,6.3,"$61,000,000 ","$312,296,056 ",43,PG-13,"Dylan O'Brien, Thomas Sangster, Kaya Scodelario, Aidan Gillen, Ki Hong Lee, Giancarlo Esposito, Barry Pepper, Lili Taylor, Patricia Clarkson, Dexter Darden, Alexander Flores, Jacob Lofland, Rosa Salazar, Terry Dale Parks, Kathryn Smith-McGlynn, J. Nathan Simmons, Matthew T. Metzler, Alan Tudyk, Jenny Gabrielle, David House, Lora Martinez Cunningham, Luke Gallegos, Shawn Prince, Jeremy Becerra, Matthew Page, Alex Knight, Marc Comstock, Brandon Hampton, John Trejo, Tatanka Means, Katherine McNamara, Ryan Jason Cook, James Burnett, Morse Bicknell, Pete Anthony, Nathalie Emmanuel"
1728,Vi Presento Toni Erdmann,Toni Erdmann,2016,2017.3.2,"Comedy, Drama",162,"Germany, Austria, Monaco, Romania, France, Switzerland","German, English, Romanian",Maren Ade,Maren Ade,Komplizen Film,7.4,"$3,648,972 ","$11,784,207 ",93,R,"Peter Simonischek, Sandra Hüller, Michael Wittenborn, Thomas Loibl, Vlad Ivanov, Trystan Pütter, Lucy Russell"
1729,Paradise Beach: Dentro l'incubo,The Shallows,2016,2016.6.30,"Drama, Horror, Thriller",86,USA,"English, Spanish",Jaume Collet-Serra,Anthony Jaswinski,Columbia Pictures,6.3,"$17,000,000 ","$119,100,758 ",59,PG-13,"Blake Lively, Oscar Jaenada, Sedona Legge, Brett Cullen, Angelo Josue, Lozano Corzo, Trujillo Salas, José Manuel, Pablo Calva, Janelle Bailey, Ava Dean, Chelsea Moody, Diego Espejel, Sully Seagull"
1730,Do You Believe?,Do You Believe?,2015,2015.3.20,Drama,120,USA,English,Jon Gunn,"Chuck Konzelman, Cary Solomon",Pure Flix Entertainment,6.1,"$2,300,000 ","$14,410,698 ",22,PG-13,"Ted McGinley, Mira Sorvino, Sean Astin, Alexa PenaVega, Delroy Lindo, Andrea Logan White, Cybill Shepherd, Lee Majors, Madison Pettis, Brian Bosworth, Tracy Lindsey Melchior, Joseph Julian Soria, Valerie Dominguez, Senyo Amoaku, Mavrick Von Haug, Delpaneaux Wills, Liam Matthews, Makenzie Moss, Shwayze"
1731,Green Room,Green Room,2015,2017.2.11,"Horror, Music, Thriller",95,USA,English,Jeremy Saulnier,Jeremy Saulnier,Broad Green Pictures,7,"$5,000,000 ","$3,769,214 ",79,R,"Anton Yelchin, Imogen Poots, Patrick Stewart, Alia Shawkat, Joe Cole, Callum Turner, Mark Webber, Eric Edelstein, Macon Blair, Taylor Tunes, Kai Lennox, October Moore, David W. Thompson, Kasey Brown, Samuel Summer, Cody Burns, Brent Werzner, Mason Knight, Audrey Walker, Ed Squires, Michael Draper, Colton Ruscheinsky, Jordan Yaroslavsky, Lj Klink, Jake Kasch, Jace Daniel, Jake Love, Kyle Love, Joseph Bertót"
1732,Darkest Minds,The Darkest Minds,2018,2018.8.14,"Action, Adventure, Drama",104,USA,English,Jennifer Yuh Nelson,"Chad Hodge, Alexandra Bracken",21 Laps Entertainment,5.7,"$34,000,000 ","$41,142,379 ",39,PG-13,"Amandla Stenberg, Bradley Whitford, Harris Dickinson, Patrick Gibson, Skylan Brooks, Miya Cech, Mark O'Brien (IX), Gwendoline Christie, Wallace Langham, Wade Williams, Golden Brooks, Peyton Wich, Catherine Dyer, Lidya Jewett, Kaleigh Rivera, Drew Scheid, Sammi Rotibi, Allie McCulloch, Ashley Windham, Kassidy Slaughter, Charles Green, Jordan Salmon, Melissa Collazo, Faye Foley, Carson Holmes, Audrey Hope, Izabella Dzmitryieu, Kami King, Claire McReynolds, Deja Dee, Morgan Gao, Morgan Marie, Grace DeAmicis, Rae Jordan, John Crow, Jasmine Bolton, Lauren Frandsen, Jordan Lane Price, Kinsey Kunkel, Tyler Stormant, Gage Lawson, Clifford Gay, Larkin Campbell, Markus vonWismar, McCarrie McCausland, Camden Haydon, Kara Brooke, Hannah Grayce, Gabe Bowles, Isabella Goodwin, Renah Gallagher, Berglind Jonsdottir, Xander Call, Blake Bertrand, Meredith Grace Dabney, Ethan Stormant, Emma Faith, Ella Myers, Shannon Mosley, Jacob Evans, Jordan Ellizabeth Kennedy, Lyric Jefferson, JB Blaine, Maiya Boyd, Gianni Biasetti Jr., Kevin Schell, Ivylyn Nickel, Connor Murdock, Meredith Fullenwider, Bob Gilliam, Darren Alford, Heaven Hightower, William Walker, Sierra D. Jones, Chris Schmidt Jr., Channing O'Halloran, Lexston Bearss, Ashlyn Woods, Bella Noelle Winkowski, Jordan Britt, Isabella Holcomb, Isaac Tillman, Ahmed Zakzouk, Kymberlee Nitzband, Mary Murdock"
1734,La notte del giudizio - Election Year,The Purge: Election Year,2016,2016.7.28,"Action, Horror, Sci-Fi",108,"USA, Japan","English, Russian, Afrikaans",James DeMonaco,James DeMonaco,Universal Pictures,6,"$10,000,000 ","$118,587,880 ",55,R,"Frank Grillo, Elizabeth Mitchell, Mykelti Williamson, Edwin Hodge, Betty Gabriel, Joseph Julian Soria, Kyle Secor, Liza Colon-Zayas, Ethan Phillips, Raymond J. Barry, Adam Cantor, Christopher James Baker, Jared Kemp, Brittany Mirabile, Naeem Duren, Naheem Garcia, Steven Barkhimer, Tom Kemp, Portland Helmich, Roman Blat, David Aaron Baker, George Lee Miles, Antoine Coetzee, Johnnie Mae, Drew Cooper, Tom Paolino, Emily Petta, Alexander Cook, Juani Feliz, Jamal Peters, Matt Walton, Thomas Rhett Kee, Lonnie Farmer, Christy Coco, Hank Amos, Darcie Fisher, Alexander Schüler, Lindsey Pires, Emily Smith, Terry Serpico"
1735,Per sempre la mia ragazza,Forever My Girl,2018,2018.1.19,"Drama, Music, Romance",108,USA,English,Bethany Ashton Wolf,"Bethany Ashton Wolf, Heidi McLaughlin",LD Entertainment,6.7,"$3,500,000 ","$16,376,066 ",36,PG,"Alex Roe, Jessica Rothe, Abby Ryder Fortson, Judith Hoag, Travis Tritt, John Benjamin Hickey, Tyler Riggs"
1736,LEGO Batman - Il film,The Lego Batman Movie,2017,2017.2.9,"Animation, Action, Comedy",104,"USA, Denmark",English,Chris McKay,"Seth Grahame-Smith, Chris McKenna",DC Entertainment,7.3,"$80,000,000 ","$311,950,384 ",75,PG,"Michael Cera, Mariah Carey, Siri, Conan O'Brien, Kate Micucci, Riki Lindhome, Eddie Izzard, Seth Green, Jemaine Clement, Ellie Kemper, Channing Tatum, Jonah Hill, Adam DeVine, Hector Elizondo, Lauren White, David Burrows, Laura Kightlinger, Brent Musberger, Ralph Garman, Chris Hardwick, Todd Hansen, Chris McKay, Will Arnett, Rosario Dawson, Ralph Fiennes, Zach Galifianakis, Jenny Slate, Jason Mantzoukas, Doug Benson, Billy Dee Williams, Zoë Kravitz"
1737,Animali fantastici: I crimini di Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,2018,2018.11.15,"Adventure, Family, Fantasy",134,"UK, USA","English, French",David Yates,"J.K. Rowling, J.K. Rowling",Heyday Films,6.6,"$200,000,000 ","$654,855,901 ",52,PG-13,"Johnny Depp, Kevin Guthrie, Carmen Ejogo, Wolf Roth, Eddie Redmayne, Zoë Kravitz, Callum Turner, Derek Riddell, Cornell John, Ezra Miller, Ingvar Eggert Sigurðsson, Poppy Corby-Tuech, Andrew J. Turner, Maja Bloom, Simon Meacock, David Sakurai, Claudius Peters, Bart Soroczynski, Jude Law, Victoria Yeates, Dan Fogler, Alison Sudol, Katherine Waterston, Alfie Mailley, Claudia Kim, Olafur Darri Olafsson, William Nadylam, David Wilmot, Ed Gaughan, Olivia Popica, Daniele Hugues, Isaac Cortinovis Johnson, Alfie Simmons, Fiona Glascott, Jamie Campbell Bower, Toby Regbo, Jemima Woolnough, Hollie Burgess, Thea Lamb, Joshua Shea, Alfrun Rose, Brontis Jodorowsky, Jessica Williams, Olwen Fouéré, Isaura Barbe, Hugh Quarshie, Isaac Domingos, Keith Chanter, Ruby Woolfenden, Linda Santiago, Christopher Birks, Simon Wan"
1739,After,After,2019,2019.4.11,"Drama, Romance",105,USA,English,Jenny Gage,"Susan McMartin, Tamara Chestna",CalMaple,5.4,"$14,000,000 ","$69,733,482 ",30,PG-13,"Josephine Langford, Hero Fiennes Tiffin, Selma Blair, Jennifer Beals, Peter Gallagher, Meadow Williams, Samuel Larsen, Dylan Arnold, Inanna Sarkis, Pia Mia, Shane Paul McGhie, Swen Temmel, Khadijha Red Thunder"
1740,My Little Pony: Il film,My Little Pony: The Movie,2017,2017.12.6,"Animation, Adventure, Comedy",99,"USA, Canada",English,Jayson Thiessen,"Meghan McCarthy, Joe Ballarini",Lionsgate,6.1,"$6,500,000 ","$60,330,833 ",39,PG,"Tabitha St. Germain, Cathy Weseluck, Emily Blunt, Kristin Chenoweth, Liev Schreiber, Michael Peña, Sia, Taye Diggs, Uzo Aduba, Zoe Saldana, Nicole Oliver, Tara Strong, Ashleigh Ball"
1741,Florence,Florence Foster Jenkins,2016,2016.12.22,"Biography, Comedy, Drama",111,"UK, France","English, German, Italian, Russian",Stephen Frears,Nicholas Martin,Path�,6.8,"$29,000,000 ","$49,052,787 ",71,PG-13,"Meryl Streep, Hugh Grant, Simon Helberg, Rebecca Ferguson, Nina Arianda, Stanley Townsend, Alan Corduner, Allan Corduner, Christian McKay, David Haig, John Sessions, Brid Brennan, Mark Arnold, John Kavanagh, Pat Starr, Maggie Steed, Thelma Barlow, Liza Ross, Paola Dionisotti, Rhoda Lewis, Aida Garifullina, David Mills, David Menkin, Sid Phoenix, Tunji Kasim, Carl Davis, Lloyd Hutchinson, Josh O'Connor, Stefan Bednarczyk, Nathan Osgood, Caolan Byrne, James Sobol Kelly, Dar Dash"
1742,Keanu,Keanu,2016,2016.4.29,"Action, Comedy, Crime",100,USA,English,Peter Atencio,"Jordan Peele, Alex Rubens",Artists First,6.2,"$15,000,000 ","$20,651,333 ",63,R,"Keegan-Michael Key, Jordan Peele, Tiffany Haddish, Method Man, Darrell Britt-Gibson, Jason Mitchell, Jamar Neighbors, Luis Guzman, Will Forte, Nia Long, Rob Huebel, Madison Wolfe, Jordyn A. Davis, James Yeargain, Brittany Seymour, Richard Holden, Nadiyah Skyy Taylor, Susan McBrien, Jenny Ballard, Ian Casselberry, Neil Wells, David A. Cole, Reginal Varice, Nicholas Hayner"
1743,Captain Marvel,Captain Marvel,2019,2019.3.6,"Action, Adventure, Sci-Fi",123,"USA, Australia",English,"Anna Boden, Ryan Fleck","Anna Boden, Ryan Fleck",Walt Disney Pictures,6.9,"$160,000,000 ","$1,128,276,090 ",64,PG-13,"Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Annette Bening, Clark Gregg, Jude Law, Algenis Perez Soto, Rune Temte, McKenna Grace, Vik Sahay, Ana Ayora, Colin Ford, Kenneth Mitchell"
1744,Avengers: Infinity War,Avengers: Infinity War,2018,2018.4.25,"Action, Adventure, Sci-Fi",149,USA,English,"Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely",Marvel Studios,8.4,"$321,000,000 ","$2,048,359,754 ",68,PG-13,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Benedict Cumberbatch, Don Cheadle, Tom Holland (II), Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Karen Gillan, Zoe Saldana, Dave Bautista, Tom Hiddleston, Anthony Mackie, Sebastian Stan, Benedict Wong, Idris Elba, Danai Gurira, Vin Diesel, Bradley Cooper, Gwyneth Paltrow, Benicio Del Toro, Josh Brolin, Chris Pratt, William Hurt, Letitia Wright, Pom Klementieff, Paul Rudd, Kerry Condon, Peter Dinklage, Angela Bassett, Carrie Coon, Sean Gunn, Winston Duke, Florence Kasumba, Jacob Batalon, Callan Mulvey, Terry Notary, Tom Vaughan-Lawlor, Perla Middleton, Harrison Osterfield, Tiffany Espensen, Marija Abney, Isabella Amara, Marie Mouroum, Hyejin Jang, Matthew Zuk, Ethan Dizon, Annie Pisapia, Floyd Anthony Johns, Jr., Blair Jasin, Michael David Yuhl, Kejuan London Keith, Michael Pierino Miller, Slim Khezri, Martavious Gayles, Sergio Briones, Cecil M. Henry, Chase Ledgerwood, Daniela Gaskie, David Escobar, John Gettier, Devin Koehler, Mallory Kidwell, Edward Parker, Luke Maher, Cobie Smulders, Samuel L. Jackson"
1745,Avengers: Endgame,Avengers: Endgame,2019,2019.4.24,"Action, Adventure, Drama",181,USA,"English, Japanese, Xhosa, German","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely",Marvel Studios,8.4,"$356,000,000 ","$2,797,800,564 ",78,PG-13,"Robert Downey Jr., Mark Ruffalo, Scarlett Johansson, Chris Evans, Chris Hemsworth, Chris Pratt, Elizabeth Olsen, Anthony Mackie, Benedict Cumberbatch, Chadwick Boseman, Evangeline Lilly, Karen Gillan, Brie Larson, Zoe Saldana, Frank Grillo, Ty Simpkins, Dave Bautista, Rene Russo, Sebastian Stan, Katherine Langford, Jeremy Renner, Paul Rudd, Gwyneth Paltrow, Don Cheadle, Josh Brolin, Tom Holland (II), Tilda Swinton, Letitia Wright, Winston Duke, Sean Gunn, Kerry Condon, Emma Fuhrmann, Benedict Wong, Hiroyuki Sanada, Terry Notary, Colin Goodwin, Bradley Cooper, Brandon Rush, Cobie Smulders, Michael A. Cook, Floyd Anthony Johns, Jr., Eric Wallace, Khalid Ghajji, Brent McGee, Faith Logan, Monica Mathis, Hyejin Jang, Michael Pierino Miller, Jimmy Ray Pickens, Keith Nussbaum, Robert Redford, Benjamin Weaver, Ami Fujimoto, Renah Gallagher, Jay D. Kacho, Daniela Gaskie, Gozie Agbo, Michael Shaw, Michael James Shaw, Cade Woodward, Stan Lee, Jackson Dunn, Lee Moore, Matthew Berry, Joy McAvoy"
1746,Replicas,Replicas,2018,2018.11.23,"Drama, Sci-Fi, Thriller",107,"UK, China, Puerto Rico, USA",English,Jeffrey Nachmanoff,"Chad St. John, Stephen Hamel",Company Films,5.5,"$30,000,000 ","$9,330,075 ",19,PG-13,"Keanu Reeves, Alice Eve, Thomas Middleditch, John Ortiz, Emily Alyn Lind, Emjay Anthony"
1747,Free Fire,Free Fire,2016,2017.10.19,"Action, Comedy, Crime",91,UK,English,Ben Wheatley,"Amy Jump, Ben Wheatley",Film4,6.4,"$7,685,975 ","$3,719,383 ",63,R,"Brie Larson, Cillian Murphy, Armie Hammer, Sam Riley, Sharlto Copley, Jack Reynor, Babou Ceesay, Enzo Cilenti, Noah Taylor, Tom Davis (XXVI), Michael Smiley, Mark Monero, Patrick Bergin"
1748,3 Generations: Una famiglia quasi perfetta,3 Generations,2015,2016.11.24,Drama,92,USA,"English, Spanish",Gaby Dellal,"Nikole Beckwith, Gaby Dellal",Big Beach Films,5.9,"$5,000,000 ","$680,351 ",47,PG-13,"Elle Fanning, Naomi Watts, Susan Sarandon, Tate Donovan, Maria Dizzia, Linda Emond, Sam Trammell, Andrew Polk, Marcos Gonzalez, Ira Jackson, Antonio Ortiz, Marquis Rodriguez, Tessa Albertson, Carlos Jordan, Gameela Wright, Lucca De Oliveira, Francesca Keller, Jinn S. Kim, Elle Winter, Susan Blackwell, Maxwell Simkins, Matta Marie Conforti, Eva Kaminsky"
1749,Man in the Dark,Don't Breathe,2016,2016.9.8,"Crime, Horror, Thriller",88,"USA, Hungary",English,Fede Alvarez,"Fede Alvarez, Rodo Sayagues",Screen Gems,7.1,"$9,900,000 ","$157,830,487 ",71,R,"Jane Levy, Dylan Minnette, Daniel Zovatto, Stephen Lang, Emma Bercovici, Franciska Töröcsik, Christian Zagia, Katia Bokor, Sergej Onopko, Olivia Gillies, Dayna Clark, Franciska Töröcsik"
