,year,title,original_title,date_published,genre,duration,country,production_company,avg_vote,metascore,content_rating,oscar_name,oscar_category,oscar_winner,book,worlwide_gross_income1,worlwide_gross_income2,budget1,budget2
8423,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",SOUND MIXING,False,The Revenant,$,532950503,$,135000000
8424,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",SOUND MIXING,False,The Revenant,$,532950503,$,135000000
8425,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",SOUND MIXING,False,The Revenant,$,532950503,$,135000000
8426,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",SOUND MIXING,False,The Revenant,$,532950503,$,135000000
8427,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",SOUND MIXING,False,The Revenant,$,532950503,$,135000000
8428,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",SOUND MIXING,False,The Revenant,$,532950503,$,135000000
8429,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",SOUND MIXING,False,The Revenant,$,532950503,$,135000000
8430,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",SOUND MIXING,False,The Revenant,$,532950503,$,135000000
8431,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",SOUND MIXING,False,The Revenant,$,532950503,$,135000000
8432,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",SOUND MIXING,False,The Revenant,$,532950503,$,135000000
