title,year,date_published,genre,duration,country,language,director,writer,avg_vote,budget,worldwide_gross_income,metascore,content_rating,actors,genre_first,genre2,month,season,director_power,book_label,production_power,actor1,actor2,actor3,actor4,actor5,writer1,writer2,director1,director2,title,genre,worldwide_gross_income,budget,ROI,actor_power in oscar,writer_power in oscar,director_power in oscar,G,NC17,PG,PG-13,R,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Music,Mystery,Romance,Sci-Fi,Thriller,Fall,Spring,Summer,Winter
Notte folle a Manhattan,2010,2010-05-07,"Comedy, Crime, Romance",88,USA,"English, Hebrew",Shawn Levy,Josh Klausner,6.3,55000000,152263880,56,PG-13,"Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson, Jimmi Simpson, Common, William Fichtner, Leighton Meester, JB Smoove, Kristen Wiig, Mark Ruffalo, James Franco, Mila Kunis, Bill Burr, Jonathan Morgan Heit, Savannah Argenti, Nick Kroll, Olivia Munn, Gal Gadot, Lauren Weedman, Darren Le Gallo, J. Razor, Gillian Vigman, Cantor Chayim Frenkel, Jon Bernthal, Ari Graynor, will.i.am, Sho Brown, Jahnel Curfman, Stella Angelova, Joe Starr, John Cenatiempo, Katie Gill, Michelle Galdenzi, Stacey Scowley, Hal Devi, Dani Playel, Kat Howland, Alandrea Martin",Comedy,"['Comedy', 'Crime', 'Romance']",May,Spring,949526187,0,14699910437,Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson, Jimmi Simpson,Josh Klausner,,Shawn Levy,,Drive,"Crime, Drama",76976666,15000000,513.1777733333333,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fort McCoy,2011,2014-08-15,"Drama, History, War",100,USA,English,"Kate Connor, Michael Worth",Kate Connor,5.9,3000000,78948,47,R,"Eric Stoltz, Kate Connor, Lyndsy Fonseca, Andy Hirsch, Camryn Manheim, Brendan Fehr, Seymour Cassel, Johnny Pacar, Matthew Lawrence, Mark Metcalf",Drama,"['Drama', 'History', 'War']",Aug,Summer,78948,0,78948,Eric Stoltz, Kate Connor, Lyndsy Fonseca, Andy Hirsch, Camryn Manheim,Kate Connor,,Kate Connor, Michael Worth,Alice in Wonderland,"Adventure, Family, Fantasy",1025467110,200000000,512.733555,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Easy Girl,2010,2011-03-04,"Comedy, Drama, Romance",92,USA,English,Will Gluck,Bert V. Royal,7.0,8000000,75026216,72,PG-13,"Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd, Thomas Haden Church, Patricia Clarkson, Cam Gigandet, Lisa Kudrow, Malcolm McDowell, Alyson Michalka, Stanley Tucci, Jake Sandvig, Fred Armisen, Juliette Goglia, Morgan Rusler, Nikki Tyler-Flynn, Braeden Lemasters, Mahaley Hessam, Jameson Moss, Blake Hood, Dan Bryd, Bryce Clyde Jenkins, Neil Soni, Nicki Ttyler Flynn, Stacey Travis, Bonnie Burroughs, Eddie Applegate, Norma Michaels, Yolanda Snowball, Andrew Fleming, Johanna Braddy, David Gore, Lalaine, D'Anthony Palms, Ryan J. Parker, Rawson Marshall Thurber, Chris De Lorenzo, Jillian Johnston, Nancy Karr, Clay Black, Brad Etheridge, Veerta Motiani, Michael Strauss, Lance Kerfuffle, Drew Koles, Max Crumm, Jeremiah Hu, Jessica Jann, Danni Katz, Jason Kropik",Comedy,"['Comedy', 'Drama', 'Romance']",Mar,Spring,563146155,0,2357590501,Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd, Thomas Haden Church,Bert V. Royal,,Will Gluck,,I Puffi,"Animation, Adventure, Comedy",563749323,110000000,512.4993845454545,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Burning Palms,2010,2010-04-23,"Comedy, Thriller",105,USA,English,Christopher Landon,Christopher Landon,5.3,5000000,3271,33,R,"Adriana Barraza, Robert Hoffman (X), Lake Bell, Jamie Chung, Rosamund Pike, Dylan McDermott, Shannen Doherty, Zoe Saldana, Nick Stahl, Paz Vega, Peter Macdissi, Anson Mount, Emily Meade, Tiara McKinney, Austin Williams, Jason Austin Walker, Addison Black, Chandler George Brown, Naz Jafri, Ross Thomas, Victoria Patenaude, Lil' J, Jim Lau, Scott Lunsford, Jason Brooks, Victor Webster, Haley Tju, Kate Albrecht, Cici Lau, Fabian Moreno, Colleen Camp, Tom Wright, Cynthia C.K. McFarland, Dimitri Diatchenko, Brad Martin, Aron Biedenharn Coates, Lisa Marie Dupree, Cheri Thibodeaux, Jon Polito, Edrick Browne, Chad Rose, Jude Cambise, Robin Hart Smith, Devin McNair, H.B. Burns, John Bernecker",Comedy,"['Comedy', 'Thriller']",Apr,Spring,297114697,0,3271,Adriana Barraza, Robert Hoffman (X), Lake Bell, Jamie Chung, Rosamund Pike,Christopher Landon,,Christopher Landon,,Maze Runner - La fuga,"Action, Adventure, Sci-Fi",312296056,61000000,511.9607475409836,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bad Teacher - Una cattiva maestra,2011,2011-08-31,"Comedy, Romance",92,USA,English,Jake Kasdan,"Gene Stupnitsky, Lee Eisenberg",5.6,20000000,216197492,47,R,"Cameron Diaz, Justin Timberlake, Jason Segel, Lucy Punch, John Michael Higgins, Molly Shannon, Dave Allen, Eric Stonestreet, Phyllis Smith, Jillian Armenante, Matthew J. Evans, Kaitlyn Dever, Kathryn Newton, Igal Ben Yair, Aja Bair, Andra Nechita, Noah Munck, Finneas O'Connel, Daniel Castro (X), Kali Turner, Thomas Lennon, Paul Bates, Jeff Judah, Nat Faxon, Stephanie Faracy, David Paymer, Alanna Ubach, Sarah Christine Smith, Paul Feig, Deirdre Lovejoy, Melvin Mar, Rose Abdoo, Jerry Lambert, Jennifer Irwin, Christopher Rockwell, David Doty, Rick Overton, Danny Trap, Matt Besser, Lee Eisenberg, Bruno Gioiello, Jordan Van Vranken",Comedy,"['Comedy', 'Romance']",Aug,Summer,2100945231,0,14480294208,Cameron Diaz, Justin Timberlake, Jason Segel, Lucy Punch, John Michael Higgins,Gene Stupnitsky, Lee Eisenberg,Jake Kasdan,,Kingsman: Secret Service,"Action, Adventure, Comedy",414351546,81000000,511.54511851851856,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Social Network,2010,2010-11-11,"Biography, Drama",120,USA,"English, French",David Fincher,"Aaron Sorkin, Ben Mezrich",7.7,40000000,224920315,95,PG-13,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella, Josh Pence, Brenda Song, Rashida Jones, Joseph Mazzello, John Getz, David Selby, Denise Grayson, Douglas Urbanski, Rooney Mara, Bryan Barter, Patrick Mapel, Barry Livingston, Marybeth Massett, Henry Roosevelt, Shelby Young, Nick Smoke, Cali Fredrichs, Steve Sires, Malese Jow, Victor Z. Isaac, Abhi Sinha, Mark Saul, Cedric Sanders, Dakota Johnson, Inger Tudor, Mariah Bonner, Emma Fitzpatrick, Jeffrey Thomas Border, James Shanklin, Alex Reznick, John Hayden, Oliver Muirhead, Wallace Langham, Cayman Grant, Scott Lawrence, Jared Hillman, Caitlin Gerard, Peter Asle Holden, Darin Cooper, Dustin Fitzsimons, Toby Meuli, Alecia Svenson, Jami Owen, James Dastoli, Robert Dastoli, Scotty Crowe, Jayk Gallagher, Marcella Lentz-Pope, Trevor Wright, Randy Evans, Carrie Armstrong, Pamela Roylance, Brian Palermo, Brett Leigh, Chris Gouche, Nicholas Tubbs, Kevin Chui, Richard Ferris, Burke Walton, Anh Nguyen, Dane Nightingale, Stephen Fuller, John He, Nancy Linari, Aaron Sorkin, Kyle Fain, Christopher Khai, Courtney Arndt, Felisha Terrell, Zoe De Toledo, Simon Barr, Alex Leigh Barker, Phil Turnham, Richie Steele, Chris Friend, Tom Harvey, Alex Olijnyk, Ray Poulter, Bob Hewitt, Dave Lambourne, James Padmore, Sebastian Kouba, Charles Herbert, Robin Dowell, Nathan Hillyer, Sarah Adler, Amy Ferguson, Monique Edwards, Lacey Beeman, Cherilyn Wilson, Caleb Landry Jones, Franco Vega, Andrew Thacher",Biography,"['Biography', 'Drama']",Nov,Fall,826868108,0,14480294208,Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella,Aaron Sorkin, Ben Mezrich,David Fincher,,L'ora pi� buia,"Biography, Drama, History",153129891,30000000,510.43297,0.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Don 2,2011,2011-12-23,"Action, Crime, Thriller",148,"India, Germany","Hindi, English, German",Farhan Akhtar,"Farhan Akhtar, Farhan Akhtar",7.1,16700000,6913518,49,PG,"Shah Rukh Khan, Priyanka Chopra, Boman Irani, Lara Dutta, Kunal Kapoor (II), Om Puri",Action,"['Action', 'Crime', 'Thriller']",Dec,Winter,6913518,0,6913518,Shah Rukh Khan, Priyanka Chopra, Boman Irani, Lara Dutta, Kunal Kapoor (II),Farhan Akhtar, Farhan Akhtar,Farhan Akhtar,,Diario di una schiappa,"Comedy, Drama, Family",76196538,15000000,507.97692,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cani & gatti - La vendetta di Kitty,2010,2010-09-17,"Action, Comedy, Family",82,"USA, Australia",English,Brad Peyton,"Ron J. Friedman, Steve Bencich",4.3,85000000,112483764,30,PG,"James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Neil Patrick Harris, Sean Hayes, Alec Baldwin, Wallace Shawn, Roger Moore, Joe Pantoliano, Michael Clarke Duncan, Paul Rodriguez, E.G. Daily, Phil LaMarr, Dawn Chubai, Keith Dallas, Pascale Hutton, Grey DeLisle, Len Morganti, Betty Phillips, Chris Parson, Bumper Robinson, Roger L. Jackson, Rick D. Wasserman, Bonnie Cahoon, J.K. Simmons, Carlos Alazraqui, Chris O'Donnell, Jack McBrayer, Fred Armisen, Kiernan Shipka, Michael Beattie, Jeff Bennett, Malcolm Stewart, Ingrid Tesch, Amitai Marmorstein, Robert Hewko, Mark Burgess, Sage Brocklebank, André Sogliuzzo, Christopher Lennertz",Action,"['Action', 'Comedy', 'Family']",Sep,Fall,1358800177,0,112483764,James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler,Ron J. Friedman, Steve Bencich,Brad Peyton,,Vita di Pi,"Adventure, Drama, Fantasy",609016565,120000000,507.51380416666666,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
La casa,2013,2013-05-09,"Fantasy, Horror, Thriller",91,USA,"English, Welsh",Fede Alvarez,"Fede Alvarez, Rodo Sayagues",6.5,17000000,97542952,57,R,"Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas, Liz Blackmore, Elizabeth Blackmore, Jim McLarty, Phoenix Connolly, Sian Davis, Stephen Butterworth, Karl Willetts, Randal Wilson, Rupert Degas, Bob Dorian, Ellen Sandweiss, Inca, Bruce Campbell",Fantasy,"['Fantasy', 'Horror', 'Thriller']",May,Spring,290538359,0,1313563368,Jane Levy, Shiloh Fernandez, Lou Taylor Pucci, Jessica Lucas, Liz Blackmore,Fede Alvarez, Rodo Sayagues,Fede Alvarez,,Il mio grosso grasso matrimonio greco 2,"Comedy, Romance",90632641,18000000,503.51467222222226,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Ghostbusters,2016,2016-07-28,"Action, Comedy, Fantasy",117,"USA, Australia",English,Paul Feig,"Katie Dippold, Paul Feig",5.2,144000000,229147509,60,PG-13,"Leslie Jones, John Milhiser, Ben Harris, Bess Rous, Neil Casey, Daniel Ramis, Jaime Pacheco, Dan Teicher, Davey Jones, Matteo Borghese, Cheryl Wills, Adam Ray, Robin Shelby, Rosanna Scotto, Greg Kelly, Johnny Higgins",Action,"['Action', 'Comedy', 'Fantasy']",Jul,Summer,1080772639,0,14480294208,Leslie Jones, John Milhiser, Ben Harris, Bess Rous, Neil Casey,Katie Dippold, Paul Feig,Paul Feig,,Spider-Man: Homecoming,"Action, Adventure, Sci-Fi",880166924,175000000,502.952528,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tartarughe Ninja,2014,2014-09-18,"Action, Adventure, Comedy",101,USA,"English, Japanese",Jonathan Liebesman,"Josh Appelbaum, Andr� Nemec",5.8,125000000,485004754,31,PG-13,"Megan Fox, Pete Ploszek, Jeremy Howard, Noel Fisher, Will Arnett, Danny Woodburn, William Fichtner, Whoopi Goldberg, Tohoru Masamune, Minae Noji, Abby Elliott, Madison Mason, Taran Killam, K. Todd Freeman, Paul Fitzgerald, Malina Weissman, Venida Evans, Mikal A. Vega, Harley Pasternak, Braeson Herold, Chris Wylde, Chance Kelly, Rick Chambers, Leyna Nguyen, Derek Mears, Alan Ritchson, Johnny Knoxville, Tony Shalhoub",Action,"['Action', 'Adventure', 'Comedy']",Sep,Fall,786974837,0,15651908509,Megan Fox, Pete Ploszek, Jeremy Howard, Noel Fisher, Will Arnett,Josh Appelbaum, Andr� Nemec,Jonathan Liebesman,,The Perfect Guy,"Crime, Drama, Horror",60273173,12000000,502.2764416666667,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Monica Velour - Il grande sogno,2010,2010-04-01,"Comedy, Drama, Romance",96,USA,English,Keith Bearden,Keith Bearden,5.8,5000000,33042,51,R,"Kim Cattrall, Dustin Ingram, Brian Dennehy, Jee Young Han, Daniel Yelsky, Keith David, Sam McMurray, Elizabeth Wright Shapiro, Jamie Tisdale, Gracie Rose, Tony Cox, Henry Yuk, Kyle Hallman, Kwadwo Asiedu, Lauren Mae Shafer, Paige Frisconi, Peter Carey, Courtney Dempsey-Burkett, Greg Trzaskoma, John ""Bam Bam"" Katinsky, Anna Li, Kevin Scollin, Joyce Uzelac, John W. Lawson, Jay Malack, Jordan Horowitz, Bob Duggan, Benjamin Brennan, Chris Dendrios, Michael Force, Steve Holiday, My Ishia Cason-Brown, Walter L. Lindsey, Emily Rose Merrell, Christopher Oberto, Dan Pesta, Frankenbooty, Rick Carver, Nicole 'Jade' Barley, Jason Waugh, Nicole Stober, Kathleen Moore, Ryleigh P. Little",Comedy,"['Comedy', 'Drama', 'Romance']",Apr,Spring,33042,0,33042,Kim Cattrall, Dustin Ingram, Brian Dennehy, Jee Young Han, Daniel Yelsky,Keith Bearden,,Keith Bearden,,Tammy,"Comedy, Romance",100375432,20000000,501.87716,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Warrior,2011,2011-11-04,"Action, Drama, Sport",140,USA,"English, Spanish",Gavin O'Connor,"Gavin O'Connor, Anthony Tambakis",8.2,25000000,23308615,71,PG-13,"Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison, Frank Grillo, Kevin Dunn, Maximiliano Hernandez, Bryan Callen, Sam Sheridan, Fernando Chien, Jake McLaughlin, Vanessa Martinez, Denzel Whitaker, Carlos Miranda, Nick Lehane, Laura Kenley, Capri Thomas, Lexi Cowan, Noah Emmerich, Dan ""Punkass"" Caldwell, Tim ""Skyskrape"" Katz, Julia Stockstad, Joshua Rosenthal, Kurt Angle, Erik ""Bad"" Apple, Nate Marquardt, Roan Carneiro, Daniel Stevens, Panuvat Anthony Nanakornpanom, Hans Marrero, Yves Edwards, Amir Perets, Anthony Johnson, Jimmy Cvetic, Jace Jeanes, Jake Digman, Richard Fike, Andre Mason, James Houk, Aaron Kleiber, Raymond Rowe, Lambert R. Strayer, Roman Vasylyshyn, Anthony Tambakis, Jonathan Matthew Anik, Rashad Evans, Stephan Bonnar, Michelle Brown Mooney, Tim Bickel, Jack Fischer, Jeff Hochendoner, Armon York, Adam Christian Stanley, James Dreussi, Kevin P. Hanley, Tammy Townsend, Etta Cox, Sandy Notaro, Francesca Ortenzio, Jaime Sinue Aguirre, Tracy Campbell, Thomas McCue",Action,"['Action', 'Drama', 'Sport']",Nov,Fall,181536191,0,4736994746,Joel Edgerton, Tom Hardy, Nick Nolte, Jennifer Morrison, Frank Grillo,Gavin O'Connor, Anthony Tambakis,Gavin O'Connor,,The Last Exorcism - Liberaci dal male,"Horror, Thriller",25051865,5000000,501.0373,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
xXx - Il ritorno di Xander Cage,2017,2017-01-19,"Action, Adventure, Thriller",107,"China, Canada, USA","English, Spanish, Portuguese, Mandarin, Tagalog, Russian",D.J. Caruso,"Rich Wilkes, F. Scott Frazier",5.2,85000000,346118277,42,PG-13,"Vin Diesel, Donnie Yen, Deepika Padukone, Tony Jaa, Ruby Rose, Nina Dobrev, Toni Collette, Samuel L. Jackson, Al Sapienza, Rory McCann, Hermione Corfield, Tony Gonzalez, Michael Bisping, Nigel Bennett, Terry Chen, Daniel Kash, Andrey Ivchenko, Shawn Roberts, Kris Wu, Nicky Jam, Neymar, Ariadna Gutierrez-Arevalo, Charles Carroll, Héctor Aníbal, Bailey King, Helena-Alexis Seymour, Pilar Cruz, Megan Soo, Kristen Kurnik, Courtney Friel, Rochelle Harrison, Wayne Ambrose, Everald Bernard, Douglas Fidel Muir, Ermine Gittens, Wayne Macdonald, Rebecca Leung, Ken Tran, Curtis Fletcher, Taylor Thaddeus, Madalena Brancatella, Nick Grimes, Kip Brown, Betty Zhou, Julie Abcede, Jenny Itwaru, Josh Pagcaliwangan, Boris Brown",Action,"['Action', 'Adventure', 'Thriller']",Jan,Winter,501741754,0,346118277,Vin Diesel, Donnie Yen, Deepika Padukone, Tony Jaa, Ruby Rose,Rich Wilkes, F. Scott Frazier,D.J. Caruso,,Fast & Furious 5,"Action, Adventure, Crime",626137675,125000000,500.91013999999996,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Last Song,2010,2010-04-30,"Drama, Music, Romance",108,USA,English,Julie Anne Robinson,"Nicholas Sparks, Jeff Van Wie",6.0,20000000,89137047,33,PG,"Miley Cyrus, Greg Kinnear, Bobby Coleman, Liam Hemsworth, Hallock Beals, Kelly Preston, Nick Lashaway, Carly Chaikin, Kate Vernon, Nick Searcy, Adam Barnett, Michael Jamorski, Melissa Ordway, Carrie Malabre, Lance E. Nichols, Stephanie Leigh, Phil Parham, Bonnie Johnson, Rhoda Griffis, Anthony Paderewski, April Moore, Todd Smith",Drama,"['Drama', 'Music', 'Romance']",Apr,Spring,127221209,1,164244792,Miley Cyrus, Greg Kinnear, Bobby Coleman, Liam Hemsworth, Hallock Beals,Nicholas Sparks, Jeff Van Wie,Julie Anne Robinson,,Resident Evil: Afterlife,"Action, Adventure, Horror",300228084,60000000,500.38014000000004,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The FP,2011,2011-03-13,"Action, Comedy, Drama",82,USA,English,"Brandon Trost, Jason Trost","Jason Trost, Brandon Trost",5.6,60000,40557,48,R,"Jason Trost, Lee Valamassy, Caitlyn Folley, Art Hsu, Nick Principe, Brandon Barrera, James DeBello, Dov Tiefenbach, Sean Whalen, Clifton Collins Jr., James Remar",Action,"['Action', 'Comedy', 'Drama']",Mar,Spring,40557,0,40557,Jason Trost, Lee Valamassy, Caitlyn Folley, Art Hsu, Nick Principe,Jason Trost, Brandon Trost,Brandon Trost, Jason Trost,After,"Drama, Romance",69733482,14000000,498.0963,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Waiting for Forever,2010,2011-02-04,"Comedy, Drama, Romance",95,USA,English,James Keach,Steve Adams,6.0,5000000,25517,26,PG-13,"Tom Sturridge, Rachel Bilson, Blythe Danner, Richard Jenkins, Scott Mechlowicz, Nikki Blonsky, Jaime King, Matthew Davis, Richard Gant, Roz Ryan, Nelson Franklin",Comedy,"['Comedy', 'Drama', 'Romance']",Feb,Winter,25517,0,25517,Tom Sturridge, Rachel Bilson, Blythe Danner, Richard Jenkins, Scott Mechlowicz,Steve Adams,,James Keach,,Io sono tu,"Comedy, Crime, Drama",173965010,35000000,497.0428857142857,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Attenti a quelle due,2019,2019-05-16,"Comedy, Crime",93,USA,"English, German, Dutch, Danish, French, American Sign Language",Chris Addison,"Stanley Shapiro, Paul Henning",5.4,21000000,95055451,35,PG-13,"Rebel Wilson, Anne Hathaway, Alex Sharp, Nicholas Woodeson, Ingrid Oliver, Douggie McMeekin, Deepak Anand, Sarah-Stephanie",Comedy,"['Comedy', 'Crime']",May,Spring,95055451,0,4777019192,Rebel Wilson, Anne Hathaway, Alex Sharp, Nicholas Woodeson, Ingrid Oliver,Stanley Shapiro, Paul Henning,Chris Addison,,Creed - Nato per combattere,"Drama, Sport",173567581,35000000,495.9073742857143,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Vicini del terzo tipo,2012,2012-11-08,"Comedy, Sci-Fi",102,USA,English,Akiva Schaffer,"Jared Stern, Seth Rogen",5.7,68000000,68267862,36,R,"Jonah Hill, Ben Stiller, Richard Ayoade, Rosemarie DeWitt, Will Forte, Nicholas Braun, Doug Jones, Mel Rodriguez, Erin Moriarty (II), R. Lee Ermey, Joseph A. Nuñez, Liz Cackowski, Johnny Pemberton, Billy Crudup, Sharon Gee, Eric Lee Goins, Robert C. Sibley, Grace Fronebarger, Bonnie Silver, Jill Jane Clements, Paul Barlow, Jr., Thomas Elliott, Sean Robert Goulding, Amy Napier Viteri, Dax Flame, Ryan Girard, Katie Kneeland, Ted Huckabee, Jeremiah ""J.J."" Williams Jr., Ethan Shapanka, Marla Malcom, Marla Malcolm, Lindsey Coley, LaDonna Allison, Andy Samberg, Jorma Taccone, Akiva Schaffer, Cathy Shim, Carissa Capobianco, Kelsey Talley, Melia Talley, Patricia French, Erinn Hayes, Zack Mines, Emily Yuye Sikes, Vince Vaughn, Tim Davies",Comedy,"['Comedy', 'Sci-Fi']",Nov,Fall,77947891,0,14699910437,Jonah Hill, Ben Stiller, Richard Ayoade, Rosemarie DeWitt, Will Forte,Jared Stern, Seth Rogen,Akiva Schaffer,,Fast & Furious 8,"Action, Adventure, Crime",1236005118,250000000,494.4020472,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pirati dei Caraibi - Oltre i confini del mare,2011,2011-05-18,"Action, Adventure, Fantasy",137,"USA, UK","English, Spanish",Rob Marshall,"Ted Elliott, Terry Rossio",6.6,250000000,1045713802,45,PG-13,"Johnny Depp, Penelope Cruz, Ian McShane, Geoffrey Rush, Kevin McNally, Sam Claflin, Astrid Bergès-Frisbey, Stephen Graham, Keith Richards (II), Richard Griffiths, Greg Ellis, Damian O'Hare, Oscar Jaenada, Anton Lesser, Roger Allam, Judi Dench, Christopher Fairbank, Paul Bazely, Bronson Webb, Richard Thomson, Yuki Matsuzaki, Robbie Kay, Steve Evets, Deobia Oparei, Gemma Ward, Sebastian Armesto, Juan Carlos Vellido, Tristan Laurence Perez, Norberto Moran, Gerard Monaco, Tyrone Lopez, Luke Roberts, Daniel Ings, Emilia Jones, Patrick Kennedy, Jody Halse, Clifford Rose, Paul Hunter, Jorgelina Guadalupe Airaldi, Brea Berrett, Toni Busker, Sanya Hughes, Antoinette Nikprelaj, Derek Mears, Danny Le Boyer, Kitt Barrie, Stephen Morphew, Alan Utley-Moore",Action,"['Action', 'Adventure', 'Fantasy']",May,Spring,1258616174,0,25309406600,Johnny Depp, Penelope Cruz, Ian McShane, Geoffrey Rush, Kevin McNally,Ted Elliott, Terry Rossio,Rob Marshall,,Il caso Spotlight,"Biography, Crime, Drama",98690254,20000000,493.45127,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ogni giorno,2018,2018-06-14,"Drama, Fantasy, Romance",97,"Canada, UK, USA",English,Michael Sucsy,"Jesse Andrews, David Levithan",6.4,4900000,10421847,52,PG-13,"Angourie Rice, Maria Bello, Debby Ryan, Jacob Batalon, Justice Smith, Owen Teague, Lucas Jade Zumann, Colin Ford",Drama,"['Drama', 'Fantasy', 'Romance']",Jun,Summer,206536417,1,10421847,Angourie Rice, Maria Bello, Debby Ryan, Jacob Batalon, Justice Smith,Jesse Andrews, David Levithan,Michael Sucsy,,Tutte contro lui,"Comedy, Romance",196710396,40000000,491.77599,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
The Irishman,2019,2019-11-27,"Biography, Crime, Drama",209,USA,"English, Italian, Latin, Spanish, German",Martin Scorsese,"Steven Zaillian, Charles Brandt",7.9,159000000,968853,94,R,"Robert De Niro, Al Pacino, Joe Pesci, Jesse Plemons, Bobby Cannavale, Anna Paquin, Harvey Keitel, Ray Romano, Stephen Graham, Aleksa Palladino, Stephanie Kurtzuba, Jack Huston, Kathrine Narducci, Domenick Lombardozzi, Paul Herman, Gary Basaraba, Marin Ireland",Biography,"['Biography', 'Crime', 'Drama']",Nov,Fall,897378711,0,968853,Robert De Niro, Al Pacino, Joe Pesci, Jesse Plemons, Bobby Cannavale,Steven Zaillian, Charles Brandt,Martin Scorsese,,Tonya,"Biography, Comedy, Drama",53939297,11000000,490.3572454545454,2.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kung Fu Panda 2,2011,2011-08-24,"Animation, Action, Adventure",90,USA,English,Jennifer Yuh Nelson,"Jonathan Aibel, Glenn Berger",7.2,150000000,665692281,67,PG,"Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman, Jackie Chan, Seth Rogen, Lucy Liu, James Hong, Michelle Yeoh, Victor Garber, Danny McBride (IV), Dennis Haysbert, Jean-Claude Van Damme, Michael Patrick Bell, Fred Tatasciore, Jason Bertsch, Michael DeMaio, Joseph Izzo, Dan O'Connor, Maury Sterling, Shane Glick, Lena Golia, April Hong, Alexandra ""Lexi"" Gold Jourden, Stephen Kearin, Liam Knight, Paul Mazursky, Romy Rosemont, Jeremy Shipp, Lauren Tom, Conrad Vernon",Animation,"['Animation', 'Action', 'Adventure']",Aug,Summer,706834660,0,9703091422,Jack Black, Angelina Jolie, Dustin Hoffman, Gary Oldman, Jackie Chan,Jonathan Aibel, Glenn Berger,Jennifer Yuh Nelson,,Inside Out,"Animation, Adventure, Comedy",858071350,175000000,490.3264857142857,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
