duration,avg_vote,budget,worldwide_gross_income,metascore,director_power,book_label,production_power,worldwide_gross_income,budget,ROI,actor_power in oscar,writer_power in oscar,director_power in oscar,G,NC17,PG,PG-13,R,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Music,Mystery,Romance,Sci-Fi,Thriller,Fall,Spring,Summer,Winter
118,5.9,95000000,226497209,47,471372018,0,3220110091,86086881,7000000,1229.8125857142857,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,6.4,20000000,49779728,46,49779728,0,9703091422,61105672,5000000,1222.11344,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
131,7.6,19000000,76586316,53,76586316,1,3220110091,2430735,200000,1215.3675,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
113,5.2,90000000,63523283,36,63523283,0,4736994746,436188866,36000000,1211.635738888889,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
169,8.6,165000000,696742056,74,3174609641,0,15651908509,48137666,4000000,1203.44165,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
116,7.0,190000000,540007876,63,741769093,0,15651908509,7205073,600000,1200.8455,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,7.7,14000000,4225921,45,32337634,1,4225921,118587880,10000000,1185.8788,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
125,5.7,52000000,216485654,34,358530292,0,5736040139,58980521,5000000,1179.61042,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,5.7,60000000,78309505,41,174086266,0,2357590501,62198461,5300000,1173.5558679245282,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92,6.3,70000000,217124280,40,217124280,0,18598370331,21107746,1800000,1172.6525555555556,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
123,6.4,160000000,524976069,62,530036507,0,18585852641,140312928,12000000,1169.2744,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,7.1,85000000,358375603,47,1361759377,0,14480294208,875457937,75000000,1167.2772493333334,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101,5.7,21000000,113118226,57,113118226,1,15651908509,38356892,3300000,1162.3300606060607,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
125,7.5,37000000,154026136,74,386351639,0,18585852641,11621777,1000000,1162.1777,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
106,7.0,4000000,34758951,86,34758951,0,1681312200,458863600,40000000,1147.159,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
143,8.0,220000000,1518814206,69,2921622959,0,15273522942,112983889,10000000,1129.83889,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,6.7,100000000,268426634,52,332920549,0,14699910437,56411585,5000000,1128.2317,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
112,6.1,4192350,7708312,48,7708312,0,7906169,236412453,21000000,1125.7735857142857,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,6.0,13500000,31626386,41,31626386,0,31626386,55736588,5000000,1114.73176,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92,6.8,145000000,275698039,59,275698039,0,275698039,1670401444,150000000,1113.6009626666666,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
